YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1940/01/01,12:49:28.01,le,3.46,l,32.578,-115.987,6.0,C,3365187.0,12.0,0.0
1940/01/01,18:42:24.63,le,3.58,l,33.158,-115.389,6.0,C,3365188.0,12.0,0.0
1940/01/04,07:15:33.01,le,2.65,l,34.013,-117.224,6.0,C,3365189.0,7.0,0.0
1940/01/04,08:07:10.57,le,4.01,l,33.223,-116.188,6.0,C,3365190.0,11.0,0.0
1940/01/05,06:20:50.46,le,3.97,l,32.929,-119.442,6.0,D,3365191.0,14.0,0.0
1940/01/05,08:42:55.57,le,3.42,l,33.173,-116.367,6.0,D,3365192.0,10.0,0.0
1940/01/07,05:03:05.73,le,3.32,l,33.328,-115.541,6.0,C,3365193.0,9.0,0.0
1940/01/07,07:12:43.40,le,3.31,l,33.398,-115.755,6.0,D,3365194.0,9.0,0.0
1940/01/08,21:58:14.95,le,2.39,l,34.593,-117.528,6.0,C,3365195.0,7.0,0.0
1940/01/11,03:40:20.48,le,3.19,l,33.742,-118.366,6.0,C,3365196.0,9.0,0.0
1940/01/12,16:00:43.49,le,2.62,l,33.859,-116.997,19.2,D,3365197.0,6.0,0.0
1940/01/13,07:49:07.93,le,3.98,l,33.804,-118.099,0.1,B,3365198.0,11.0,0.0
1940/01/16,18:56:02.74,le,3.31,l,34.248,-116.636,6.0,C,3365200.0,11.0,0.0
1940/01/17,01:52:55.42,le,2.58,l,34.898,-116.913,6.0,D,3365201.0,6.0,0.0
1940/01/17,04:26:37.06,le,2.61,l,34.927,-116.914,6.0,C,3365202.0,5.0,0.0
1940/01/18,02:24:38.42,le,2.43,l,34.964,-116.879,6.0,C,3365203.0,7.0,0.0
1940/01/18,05:17:00.04,le,2.85,l,33.816,-118.121,6.0,C,3365204.0,8.0,0.0
1940/01/18,05:37:26.01,le,2.50,l,33.731,-118.286,6.0,C,3365205.0,8.0,0.0
1940/01/18,17:18:49.94,le,2.60,l,34.923,-119.032,6.0,C,3365206.0,8.0,0.0
1940/01/19,10:06:00.67,le,3.18,l,33.779,-116.151,6.0,D,3365207.0,6.0,0.0
1940/01/26,14:28:30.64,le,3.16,l,35.624,-118.311,6.0,D,3365208.0,11.0,0.0
1940/01/28,20:33:53.87,le,2.46,l,33.76,-118.324,6.0,C,3365209.0,9.0,0.0
1940/01/29,01:59:10.72,le,3.06,l,33.183,-116.307,6.0,C,3365210.0,10.0,0.0
1940/02/04,16:02:08.02,qb,2.57,l,34.361,-118.354,0.0,C,3365212.0,7.0,0.0
1940/02/08,05:39:20.86,le,3.12,l,33.559,-115.606,6.0,D,3365213.0,7.0,0.0
1940/02/08,09:16:58.14,le,3.30,l,32.676,-115.02,6.0,D,3365214.0,6.0,0.0
1940/02/08,16:56:16.96,le,3.73,l,33.654,-118.097,6.0,C,3365215.0,9.0,0.0
1940/02/09,01:53:01.03,le,3.26,l,33.183,-116.153,6.0,C,3365216.0,11.0,0.0
1940/02/09,10:16:56.63,le,2.90,l,33.705,-117.32,6.0,C,3365217.0,8.0,0.0
1940/02/09,11:11:31.25,le,3.42,l,33.36,-115.737,6.0,D,3365218.0,10.0,0.0
1940/02/09,11:44:35.07,le,2.90,l,32.607,-116.338,6.0,D,3365219.0,8.0,0.0
1940/02/09,11:48:46.28,le,3.55,l,33.401,-115.818,6.0,C,3365220.0,12.0,0.0
1940/02/09,13:30:02.84,le,2.70,h,33.226,-115.847,6.0,C,3365221.0,9.0,0.0
1940/02/11,15:47:36.80,le,3.30,l,33.809,-116.855,6.0,C,3365222.0,9.0,0.0
1940/02/11,19:24:10.24,le,3.66,l,33.922,-118.252,5.8,C,3365223.0,14.0,0.0
1940/02/11,21:12:00.07,le,2.30,l,34.005,-118.446,6.0,C,3365224.0,6.0,0.0
1940/02/14,21:32:48.41,le,2.78,l,33.558,-116.782,6.0,D,3365226.0,7.0,0.0
1940/02/19,12:06:56.57,le,4.39,l,34.067,-117.01,20.0,C,3365227.0,12.0,0.0
1940/02/19,12:17:30.42,le,3.02,l,34.047,-117.028,12.7,B,3365228.0,8.0,0.0
1940/02/22,10:38:01.11,le,3.47,l,34.029,-117.029,14.1,B,3365229.0,11.0,0.0
1940/02/25,21:23:48.63,le,3.12,l,33.718,-117.494,6.0,C,3365232.0,11.0,0.0
1940/02/27,11:40:26.34,le,2.74,l,34.538,-119.402,0.1,D,3365233.0,10.0,0.0
1940/02/28,17:28:06.82,le,4.55,l,33.15,-115.983,6.0,C,3365234.0,12.0,0.0
1940/02/28,19:03:24.08,le,2.60,l,33.163,-116.216,6.0,C,3365235.0,10.0,0.0
1940/03/02,10:28:15.48,le,2.78,l,33.924,-117.023,20.0,D,3365236.0,6.0,0.0
1940/03/03,14:27:17.08,le,3.25,l,33.921,-117.006,15.9,D,3365237.0,8.0,0.0
1940/03/05,17:06:05.44,le,3.16,l,34.071,-117.313,6.0,D,3365238.0,8.0,0.0
1940/03/08,10:40:48.18,le,2.89,l,33.424,-116.57,6.0,C,3365239.0,12.0,0.0
1940/03/11,20:18:02.91,le,2.63,l,33.983,-118.2,6.0,C,3365240.0,6.0,0.0
1940/03/12,11:39:39.73,le,2.58,l,34.107,-117.281,18.1,D,3365241.0,6.0,0.0
1940/03/13,11:19:51.51,le,3.08,l,35.289,-116.939,6.0,D,3365242.0,9.0,0.0
1940/03/14,18:29:09.09,le,2.42,l,33.977,-118.409,6.0,D,3365243.0,4.0,0.0
1940/03/15,23:41:50.29,le,2.36,l,33.996,-117.216,17.6,D,3365244.0,6.0,0.0
1940/03/20,10:22:21.58,le,3.22,l,33.102,-116.008,6.0,C,3365245.0,10.0,0.0
1940/03/21,01:21:08.93,le,3.21,l,33.883,-117.061,11.6,B,3365246.0,10.0,0.0
1940/03/23,15:58:16.92,qb,1.79,l,34.336,-118.425,0.0,D,3365247.0,4.0,0.0
1940/03/25,21:18:23.81,re,3.61,l,36.795,-117.119,6.0,D,3365248.0,8.0,0.0
1940/03/27,11:06:18.13,le,3.07,l,33.789,-119.162,6.0,C,3365249.0,10.0,0.0
1940/03/29,09:46:59.80,le,2.98,l,34.691,-118.573,6.0,C,3365250.0,8.0,0.0
1940/03/30,04:09:24.46,le,2.67,l,33.82,-118.262,0.1,C,3365251.0,9.0,0.0
1940/04/13,03:55:08.67,le,3.05,l,34.066,-117.226,14.9,B,3365253.0,11.0,0.0
1940/04/18,01:03:16.06,le,3.15,l,33.218,-116.555,2.5,C,3365254.0,11.0,0.0
1940/04/18,18:43:45.22,le,4.29,l,34.048,-117.333,11.7,A,3365255.0,15.0,0.0
1940/04/18,21:21:35.15,le,3.20,l,33.113,-115.512,6.0,D,3365256.0,6.0,0.0
1940/04/19,00:44:33.60,le,2.78,l,33.535,-116.464,6.0,C,3365257.0,8.0,0.0
1940/04/24,13:16:58.76,le,3.38,l,33.786,-118.475,6.0,C,3365258.0,9.0,0.0
1940/04/29,06:56:34.11,le,3.06,l,32.55,-115.433,6.0,D,3365259.0,6.0,0.0
1940/04/29,07:32:58.44,le,3.28,l,32.547,-115.423,6.0,C,3365260.0,10.0,0.0
1940/04/29,08:48:01.32,le,3.68,l,32.562,-115.368,6.0,D,3365261.0,12.0,0.0
1940/05/04,13:21:41.49,le,2.97,l,35.953,-117.724,6.0,D,3365263.0,11.0,0.0
1940/05/04,16:00:22.40,qb,2.23,l,34.353,-118.365,0.0,C,3365264.0,6.0,0.0
1940/05/05,09:38:27.41,le,3.47,l,35.456,-115.29,6.0,D,3365265.0,9.0,0.0
1940/05/07,21:33:42.62,le,3.09,l,33.999,-116.332,6.0,C,3365266.0,8.0,0.0
1940/05/10,14:46:40.01,le,3.64,l,33.786,-116.179,6.0,C,3365268.0,12.0,0.0
1940/05/18,05:03:59.66,le,5.31,l,34.089,-116.282,6.0,C,3365269.0,10.0,0.0
1940/05/18,05:51:21.94,le,5.20,l,34.037,-116.306,6.0,C,3365270.0,7.0,0.0
1940/05/18,06:04:31.79,le,4.52,l,34.042,-116.262,6.0,C,3365271.0,7.0,0.0
1940/05/18,07:21:34.47,le,4.96,l,34.026,-116.314,6.0,C,3365272.0,7.0,0.0
1940/05/18,09:15:12.57,le,3.94,l,33.901,-119.135,6.0,C,3365273.0,14.0,0.0
1940/05/18,09:26:28.64,le,2.66,l,34.715,-118.916,6.0,D,3365274.0,7.0,0.0
1940/05/18,13:47:21.77,le,4.17,l,33.997,-116.362,6.0,C,3365275.0,8.0,0.0
1940/05/19,02:26:03.12,le,4.32,l,34.052,-116.279,6.0,C,3365276.0,13.0,0.0
1940/05/19,02:27:32.55,le,4.04,l,33.974,-116.394,6.0,D,3365277.0,6.0,0.0
1940/05/19,03:51:47.19,le,3.57,l,34.031,-116.329,6.0,C,3365278.0,7.0,0.0
1940/05/19,04:36:40.50,le,6.90,w,32.844,-115.381,6.0,D,3365279.0,10.0,0.0
1940/05/19,04:48:49.30,le,4.71,l,32.833,-115.5,6.0,C,3365280.0,2.0,0.0
1940/05/19,04:54:56.18,le,5.15,l,32.833,-115.5,6.0,C,3365281.0,4.0,0.0
1940/05/19,05:03:48.30,le,4.40,l,32.833,-115.5,6.0,C,3365282.0,4.0,0.0
1940/05/19,05:44:37.23,le,4.91,l,32.833,-115.5,6.0,C,3365283.0,5.0,0.0
1940/05/19,05:51:08.46,le,0.00,n,32.833,-115.5,6.0,C,3365284.0,3.0,0.0
1940/05/19,05:51:38.13,le,5.41,l,32.855,-115.5,6.0,C,3365285.0,4.0,0.0
1940/05/19,05:57:19.36,le,4.71,l,32.833,-115.5,6.0,C,3365286.0,4.0,0.0
1940/05/19,06:17:45.85,le,4.71,l,32.833,-115.5,6.0,C,3365287.0,2.0,0.0
1940/05/19,06:33:21.40,le,5.18,l,32.833,-115.5,6.0,C,3365288.0,6.0,0.0
1940/05/19,06:35:33.45,le,5.18,l,32.833,-115.5,6.0,C,3365289.0,2.0,0.0
1940/05/19,07:01:36.54,le,4.28,l,32.833,-115.5,6.0,C,3365290.0,2.0,0.0
1940/05/19,08:55:07.35,le,4.12,l,32.833,-115.5,6.0,C,3365291.0,2.0,0.0
1940/05/19,09:17:28.38,le,4.20,l,32.833,-115.5,6.0,C,3365292.0,3.0,0.0
1940/05/19,12:09:28.78,le,4.01,l,32.833,-115.5,6.0,C,3365293.0,6.0,0.0
1940/05/19,13:06:44.69,le,3.98,l,34.027,-116.34,6.0,C,3365294.0,7.0,0.0
1940/05/19,13:41:00.53,le,3.95,l,33.058,-115.51,6.0,C,3365295.0,6.0,0.0
1940/05/19,15:30:30.33,le,4.25,l,32.833,-115.5,6.0,C,3365296.0,5.0,0.0
1940/05/19,15:51:48.54,le,3.60,l,32.833,-115.5,6.0,C,3365297.0,4.0,0.0
1940/05/19,19:39:43.08,le,4.25,l,34.087,-116.307,6.0,C,3365298.0,9.0,0.0
1940/05/20,06:27:16.09,le,3.49,l,32.837,-115.268,6.0,C,3365299.0,9.0,0.0
1940/05/20,07:05:58.14,le,3.50,l,32.716,-115.323,6.0,C,3365300.0,8.0,0.0
1940/05/20,11:13:30.40,le,3.36,l,32.833,-115.5,6.0,C,3365301.0,6.0,0.0
1940/05/21,10:05:27.46,re,4.08,l,35.258,-121.176,6.0,D,3365302.0,8.0,0.0
