YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1941/01/10,04:14:36.74,le,1.99,l,33.981,-118.282,6.0,C,3365530.0,5.0,0.0
1941/01/12,04:21:10.11,le,3.59,l,32.93,-115.905,6.0,D,3365531.0,8.0,0.0
1941/01/14,16:53:00.74,le,3.83,l,33.588,-120.543,6.0,C,3365533.0,12.0,0.0
1941/01/15,18:31:57.19,le,2.41,l,34.682,-119.106,6.0,C,3365534.0,7.0,0.0
1941/01/17,16:15:03.09,le,3.17,l,33.502,-116.543,0.7,C,3365535.0,10.0,0.0
1941/01/20,13:58:16.29,le,3.99,l,35.409,-119.271,6.0,C,3365536.0,16.0,0.0
1941/01/23,10:01:21.25,le,2.38,l,34.675,-116.829,6.0,C,3365537.0,4.0,0.0
1941/01/23,16:41:00.72,le,3.07,l,35.412,-119.189,6.0,C,3365538.0,10.0,0.0
1941/01/25,15:09:00.65,le,3.02,l,35.428,-119.254,6.0,C,3365539.0,13.0,0.0
1941/01/26,14:34:22.14,le,2.34,l,34.829,-118.947,6.0,D,3365540.0,7.0,0.0
1941/01/26,19:22:56.79,le,2.93,l,33.358,-116.421,0.0,D,3365541.0,10.0,0.0
1941/01/28,06:49:11.55,le,2.73,l,34.377,-116.777,6.0,C,3365542.0,9.0,0.0
1941/01/29,08:53:59.76,le,2.84,l,34.672,-119.558,6.0,C,3365543.0,9.0,0.0
1941/01/30,01:34:47.92,le,3.98,l,33.992,-118.067,13.5,A,3365544.0,16.0,0.0
1941/01/31,18:58:19.52,le,1.96,l,34.365,-118.157,0.0,B,3365545.0,7.0,0.0
1941/02/02,21:25:09.92,qb,2.59,l,34.365,-118.396,1.9,B,3365547.0,10.0,0.0
1941/02/04,03:19:11.10,le,2.89,l,34.656,-119.776,6.1,C,3365548.0,7.0,0.0
1941/02/04,03:42:08.29,le,2.92,l,34.657,-119.792,6.0,C,3365549.0,5.0,0.0
1941/02/08,15:58:51.68,le,3.57,l,34.245,-119.747,6.0,D,3365550.0,7.0,0.0
1941/02/08,21:06:55.94,le,2.47,l,34.212,-116.525,6.0,D,3365552.0,5.0,0.0
1941/02/09,18:53:41.01,le,2.68,l,35.025,-119.12,6.0,C,3365553.0,10.0,0.0
1941/02/09,23:49:21.86,le,2.60,l,34.347,-119.595,5.8,D,3365554.0,9.0,0.0
1941/02/11,06:43:29.58,le,3.82,l,34.208,-119.7,6.4,C,3365555.0,16.0,0.0
1941/02/12,20:10:13.83,le,2.94,l,34.2,-119.7,6.0,D,3365556.0,7.0,0.0
1941/02/14,22:19:09.01,le,2.36,l,34.313,-119.708,6.0,D,3365557.0,4.0,0.0
1941/02/15,09:00:09.30,le,2.52,l,34.326,-116.584,6.0,C,3365558.0,5.0,0.0
1941/02/16,09:37:08.46,le,2.83,l,34.512,-116.514,6.0,C,3365559.0,8.0,0.0
1941/02/18,19:51:03.10,le,3.05,l,34.229,-117.361,6.0,C,3365560.0,10.0,0.0
1941/02/20,16:54:29.40,le,3.65,l,34.465,-118.828,6.0,D,3365561.0,10.0,0.0
1941/02/21,10:42:44.73,le,3.22,l,35.7,-118.379,6.0,C,3365562.0,11.0,0.0
1941/02/21,11:33:56.17,le,3.44,l,36.085,-117.796,0.2,B,3365563.0,9.0,0.0
1941/02/21,22:05:24.53,le,2.75,l,33.28,-118.491,6.0,C,3365564.0,7.0,0.0
1941/02/22,11:41:42.78,le,2.89,l,33.858,-118.327,6.0,C,3365565.0,8.0,0.0
1941/02/22,18:19:03.94,le,2.46,l,33.897,-118.356,6.0,C,3365566.0,6.0,0.0
1941/02/23,18:36:14.30,le,4.29,l,33.515,-116.434,6.0,C,3365567.0,15.0,0.0
1941/02/26,13:09:31.30,le,3.64,l,32.948,-115.477,6.0,D,3365568.0,11.0,0.0
1941/02/26,13:11:13.33,le,3.18,l,32.9,-115.52,6.0,D,3365569.0,6.0,0.0
1941/02/26,14:01:41.31,le,3.06,l,32.912,-115.517,6.0,D,3365570.0,10.0,0.0
1941/02/27,01:49:58.93,le,2.49,l,34.319,-116.397,6.0,C,3365571.0,8.0,0.0
1941/02/27,12:18:43.04,le,2.28,l,34.824,-116.407,6.0,C,3365572.0,6.0,0.0
1941/03/01,05:05:05.43,le,2.70,l,32.989,-115.765,6.0,C,3365573.0,7.0,0.0
1941/03/01,09:16:21.21,le,2.41,l,34.309,-116.812,6.0,C,3365574.0,8.0,0.0
1941/03/01,12:47:14.82,le,2.77,l,33.375,-116.149,6.0,C,3365575.0,7.0,0.0
