YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
2006/01/01,00:36:42.36,le,1.68,l,33.536,-116.585,12.4,A,14206628.0,68.0,0.0
2006/01/01,04:53:52.45,le,0.73,l,33.483,-116.433,8.4,B,14206640.0,21.0,0.0
2006/01/01,04:59:12.69,le,1.57,l,33.491,-116.45,13.1,A,14206644.0,63.0,0.0
2006/01/01,06:24:04.39,le,0.85,l,33.478,-116.379,5.8,C,14206652.0,16.0,0.0
2006/01/01,07:13:52.79,le,0.64,l,35.785,-117.733,8.7,A,14206656.0,16.0,0.0
2006/01/01,07:19:25.26,le,2.14,l,33.502,-115.832,9.4,A,14206660.0,86.0,0.0
2006/01/01,08:42:45.55,le,0.45,l,33.594,-116.618,12.7,A,14206668.0,31.0,0.0
2006/01/01,10:55:21.33,le,0.50,h,36.02,-117.756,3.6,B,14206672.0,6.0,0.0
2006/01/01,11:05:10.05,le,1.24,l,33.947,-116.729,16.3,A,14206676.0,33.0,0.0
2006/01/01,11:38:18.76,le,1.03,l,34.038,-117.254,16.8,A,14206680.0,19.0,0.0
2006/01/01,12:30:43.33,le,2.39,l,32.111,-115.871,6.0,C,14206684.0,19.0,0.0
2006/01/01,12:49:54.20,le,0.48,l,33.463,-116.608,8.8,A,14206688.0,16.0,0.0
2006/01/01,12:53:01.87,le,0.70,h,33.984,-116.967,6.0,C,14206692.0,8.0,0.0
2006/01/01,12:53:06.74,le,0.30,h,36.019,-117.767,3.0,A,12228715.0,10.0,0.0
2006/01/01,12:54:04.71,le,0.30,h,36.022,-117.763,3.4,A,14206696.0,10.0,0.0
2006/01/01,13:15:48.52,le,0.30,h,36.021,-117.807,4.1,B,14206700.0,8.0,0.0
2006/01/01,13:35:10.87,le,0.40,h,36.021,-117.808,3.6,B,14206704.0,8.0,0.0
2006/01/01,14:28:13.54,le,0.20,l,33.471,-116.606,9.3,A,14206708.0,12.0,0.0
2006/01/01,14:53:29.38,le,0.88,l,33.446,-116.585,9.7,A,14206712.0,23.0,0.0
2006/01/01,15:33:37.95,le,1.62,l,34.147,-118.336,15.6,A,14206720.0,28.0,0.0
2006/01/01,16:02:30.77,le,1.14,l,32.804,-116.106,10.4,C,14206724.0,16.0,0.0
2006/01/01,17:59:58.94,le,1.66,l,36.316,-118.007,5.6,C,14206732.0,22.0,0.0
2006/01/01,23:23:19.13,le,0.20,h,36.087,-117.869,5.4,A,14206752.0,7.0,0.0
2006/01/01,23:58:53.03,le,2.97,l,35.126,-117.563,3.7,A,14206756.0,72.0,0.0
2006/01/02,01:15:40.09,le,1.31,l,33.066,-115.604,13.4,C,14206764.0,13.0,0.0
2006/01/02,02:28:16.15,le,1.43,l,33.045,-116.189,8.5,C,14206772.0,45.0,0.0
2006/01/02,04:58:22.36,le,1.71,l,32.367,-115.249,6.0,C,14206788.0,14.0,0.0
2006/01/02,05:00:25.36,le,1.72,l,32.392,-115.26,6.0,C,14206792.0,15.0,0.0
2006/01/02,05:34:52.02,le,1.33,l,33.461,-116.617,11.4,A,14206796.0,37.0,0.0
2006/01/02,06:00:48.84,le,1.74,l,32.516,-115.416,6.0,C,14206800.0,21.0,0.0
2006/01/02,07:07:33.98,le,0.20,h,36.014,-117.894,5.6,A,14206812.0,9.0,0.0
2006/01/02,08:16:50.84,le,1.17,l,35.435,-118.773,3.8,A,14206816.0,17.0,0.0
2006/01/02,11:30:33.38,le,0.61,l,36.051,-117.524,6.4,A,14206836.0,13.0,0.0
2006/01/02,11:35:06.87,le,0.30,h,36.079,-117.871,4.7,C,14206840.0,6.0,0.0
2006/01/02,15:34:13.72,le,2.57,l,34.02,-117.149,4.1,A,14206844.0,110.0,0.0
2006/01/02,15:45:03.56,le,1.78,l,34.02,-117.15,5.2,A,14206848.0,26.0,0.0
2006/01/02,16:11:20.77,le,2.84,l,33.778,-116.037,5.6,C,14206856.0,78.0,0.0
2006/01/02,18:25:51.29,le,1.78,l,34.02,-117.15,5.0,A,14206868.0,30.0,0.0
2006/01/02,19:01:41.39,le,1.68,l,36.032,-117.876,5.0,A,14206876.0,20.0,0.0
2006/01/02,19:25:55.12,le,1.83,l,34.02,-117.15,5.2,A,14206880.0,28.0,0.0
2006/01/02,20:09:52.47,le,1.66,l,35.325,-118.653,5.5,C,14206888.0,15.0,0.0
2006/01/02,20:15:33.47,le,2.37,l,33.505,-116.468,6.3,C,14206892.0,56.0,0.0
2006/01/02,20:56:52.36,le,0.60,h,33.705,-116.747,18.3,B,14206904.0,13.0,0.0
2006/01/02,21:21:02.18,le,1.29,l,33.517,-116.452,8.8,A,14206912.0,14.0,0.0
2006/01/02,23:28:38.81,le,1.18,l,33.723,-116.832,9.4,A,14206932.0,20.0,0.0
