YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1952/01/01,16:53:56.57,le,3.03,l,35.256,-119.11,6.0,C,3322196.0,11.0,0.0
1952/01/04,03:44:22.11,le,2.57,l,33.964,-117.843,13.2,B,3322197.0,13.0,0.0
1952/01/06,09:42:53.95,le,3.30,l,32.197,-116.587,6.0,C,3322198.0,13.0,0.0
1952/01/08,06:34:27.51,le,4.36,l,33.988,-116.361,6.0,C,3322199.0,19.0,0.0
1952/01/08,23:53:43.23,le,3.14,l,33.698,-115.936,6.0,C,3322200.0,20.0,0.0
1952/01/10,05:31:59.74,le,3.01,l,36.121,-117.822,0.0,C,3322202.0,14.0,0.0
1952/01/12,12:28:15.38,le,3.48,l,34.232,-119.422,6.0,C,3322203.0,22.0,0.0
1952/01/20,03:40:24.35,le,2.94,l,33.256,-116.239,6.0,C,3322016.0,11.0,0.0
1952/01/21,05:22:06.33,le,3.14,l,34.473,-116.263,6.0,C,3322017.0,14.0,0.0
1952/01/22,08:10:33.00,le,2.78,l,34.024,-116.599,6.0,C,3322018.0,13.0,0.0
1952/01/22,23:51:09.79,le,1.72,h,34.395,-118.212,6.0,C,3322019.0,5.0,0.0
1952/01/24,00:31:36.53,le,2.86,l,34.201,-120.032,10.0,C,3322020.0,13.0,0.0
1952/01/24,12:55:49.65,le,2.65,h,35.637,-116.429,6.0,C,3322021.0,17.0,0.0
1952/01/24,23:34:13.61,le,1.89,h,34.324,-117.938,10.0,D,3322023.0,4.0,0.0
1952/01/26,04:59:19.35,le,2.54,l,34.306,-116.998,0.2,B,3322024.0,14.0,0.0
1952/01/27,16:08:50.00,le,3.02,l,33.6,-117.166,6.0,C,3322025.0,11.0,0.0
1952/01/28,00:10:57.03,le,3.55,l,33.931,-116.266,6.0,C,3322026.0,15.0,0.0
1952/01/28,10:46:37.20,le,2.76,l,33.963,-116.961,6.0,C,3322027.0,14.0,0.0
1952/01/28,12:06:03.81,le,3.41,l,32.849,-116.956,6.0,C,3322028.0,13.0,0.0
1952/01/31,20:07:01.89,le,2.64,l,34.179,-119.529,6.0,C,3322031.0,16.0,0.0
1952/02/03,08:16:54.18,le,3.13,l,34.981,-116.364,6.0,C,3322034.0,21.0,0.0
1952/02/06,23:14:02.72,le,3.03,l,33.43,-118.252,6.0,C,3322037.0,15.0,0.0
1952/02/07,04:47:09.14,le,3.02,l,32.886,-118.288,6.0,C,3322038.0,17.0,0.0
1952/02/07,16:19:56.62,le,3.04,l,32.853,-118.302,6.0,C,3322039.0,18.0,0.0
1952/02/08,17:40:25.70,le,3.98,l,33.127,-116.352,6.0,C,3322040.0,22.0,0.0
1952/02/09,08:43:30.76,le,4.02,l,36.618,-117.871,6.0,C,3322042.0,19.0,0.0
1952/02/09,08:54:45.76,le,3.63,l,36.612,-117.89,6.0,C,3322045.0,21.0,0.0
1952/02/09,19:44:24.53,le,3.60,l,36.605,-117.944,6.0,C,3322047.0,23.0,0.0
1952/02/09,22:26:36.86,le,3.57,l,34.086,-120.791,6.0,C,3322059.0,16.0,0.0
1952/02/10,09:14:46.63,le,2.59,l,35.704,-117.066,6.0,C,3322060.0,21.0,0.0
1952/02/10,09:46:23.68,le,2.67,l,33.95,-116.607,1.0,C,3322064.0,20.0,0.0
1952/02/10,13:50:53.12,le,3.96,l,33.557,-119.222,6.0,C,3322065.0,24.0,0.0
1952/02/12,04:02:31.58,le,2.61,h,33.148,-116.489,6.0,C,3322066.0,16.0,0.0
1952/02/12,20:08:39.04,le,3.26,l,34.071,-119.02,6.0,C,3322067.0,29.0,0.0
1952/02/13,01:52:58.33,le,3.43,l,33.746,-118.634,6.0,C,3322068.0,25.0,0.0
1952/02/13,15:13:34.51,le,4.61,l,32.807,-118.381,6.0,C,3322069.0,23.0,0.0
1952/02/13,15:29:40.32,qb,1.69,h,34.036,-117.361,3.5,B,3322071.0,13.0,0.0
1952/02/14,07:31:02.48,le,3.42,l,32.902,-118.276,6.0,C,3322072.0,17.0,0.0
1952/02/14,16:31:15.44,le,2.93,l,34.23,-117.165,13.1,B,3322073.0,17.0,0.0
1952/02/15,07:11:04.00,le,2.73,l,34.128,-117.474,8.1,A,3322074.0,16.0,0.0
1952/02/15,08:24:08.63,le,2.61,l,34.123,-117.481,5.2,B,3322076.0,17.0,0.0
1952/02/15,21:30:08.77,le,1.97,h,34.411,-118.23,1.0,C,3322077.0,7.0,0.0
1952/02/16,04:33:13.05,le,2.36,l,34.127,-117.482,4.7,A,3322078.0,15.0,0.0
1952/02/17,12:36:58.06,le,4.39,l,34.014,-117.222,13.8,B,3322079.0,20.0,0.0
1952/02/19,09:21:53.34,le,2.76,l,34.045,-117.222,12.8,A,3322080.0,18.0,0.0
1952/02/19,20:11:09.12,le,3.18,l,33.093,-116.101,6.0,C,3322081.0,19.0,0.0
1952/02/19,21:27:15.81,le,2.36,l,36.592,-117.978,6.0,C,3322082.0,10.0,0.0
1952/02/20,00:42:01.45,le,3.30,l,34.069,-117.227,15.8,A,3322083.0,26.0,0.0
1952/02/22,16:58:12.68,le,2.92,l,35.712,-118.026,6.0,C,3322084.0,20.0,0.0
1952/02/23,12:17:45.89,le,2.69,l,33.023,-116.83,6.0,C,3322086.0,14.0,0.0
1952/02/28,16:05:04.10,le,3.08,l,36.902,-118.042,1.2,C,3322087.0,12.0,0.0
1952/02/29,15:30:49.89,qb,1.89,h,34.074,-117.309,3.1,B,3322088.0,10.0,0.0
1952/03/03,02:04:42.54,le,2.52,l,33.986,-117.61,2.8,A,3322089.0,17.0,0.0
1952/03/03,06:30:09.71,le,2.80,l,34.064,-117.251,16.7,B,3322090.0,17.0,0.0
1952/03/03,16:14:14.93,le,3.29,l,33.456,-117.735,6.0,C,3322092.0,19.0,0.0
1952/03/04,05:13:43.72,le,2.63,l,34.25,-117.118,2.8,B,3324698.0,16.0,0.0
1952/03/07,23:23:39.76,le,2.19,h,34.896,-119.209,6.0,C,3324699.0,7.0,0.0
1952/03/08,21:11:27.12,re,3.80,l,36.668,-120.944,6.0,C,3324700.0,11.0,0.0
1952/03/09,00:25:43.13,re,3.15,l,36.049,-120.44,6.0,C,10086298.0,11.0,0.0
1952/03/09,17:14:07.36,re,3.28,l,35.986,-120.36,6.0,C,10086302.0,8.0,0.0
1952/03/10,18:15:19.57,le,3.71,l,32.191,-116.719,6.0,C,3324701.0,15.0,0.0
1952/03/15,06:44:47.89,le,2.93,l,34.613,-119.053,6.0,C,3324703.0,22.0,0.0
1952/03/16,19:59:12.76,le,4.02,l,32.005,-115.199,6.0,D,12277799.0,14.0,0.0
1952/03/16,22:11:00.06,le,4.40,l,32.264,-115.108,6.0,D,12277803.0,15.0,0.0
1952/03/20,13:18:19.11,le,2.88,l,33.994,-116.406,6.0,C,3324704.0,17.0,0.0
1952/03/24,11:54:08.29,le,2.82,l,33.132,-116.056,6.0,C,3324705.0,16.0,0.0
1952/03/24,20:36:40.07,le,3.24,l,34.144,-119.488,6.0,C,3324707.0,15.0,0.0
1952/03/25,06:03:47.17,le,2.95,h,33.074,-116.447,6.0,C,3324708.0,12.0,0.0
1952/03/25,09:18:48.98,le,3.50,l,34.072,-120.968,6.0,C,3324709.0,13.0,0.0
1952/03/25,15:29:43.46,le,2.81,h,33.117,-116.071,6.0,C,3324711.0,16.0,0.0
1952/03/26,11:14:29.98,le,3.31,l,36.008,-117.754,0.0,B,3324712.0,21.0,0.0
1952/03/28,01:16:21.58,le,4.03,l,33.107,-115.99,6.0,C,3324714.0,19.0,0.0
1952/04/06,00:50:25.86,le,2.72,l,34.162,-116.856,8.5,A,3324715.0,18.0,0.0
1952/04/08,02:44:04.82,le,3.38,l,33.95,-115.668,6.0,C,3324716.0,20.0,0.0
1952/04/08,18:25:25.32,le,3.33,l,33.961,-115.703,6.0,C,3324717.0,20.0,0.0
1952/04/09,12:24:25.04,le,3.89,l,33.858,-115.777,6.0,C,3321996.0,28.0,0.0
1952/04/10,10:08:26.55,le,3.21,l,33.93,-115.716,6.0,C,3321997.0,20.0,0.0
