YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1968/01/01,07:50:50.76,le,3.08,l,32.959,-115.863,6.0,C,3329310.0,24.0,0.0
1968/01/01,11:34:42.21,le,2.59,h,33.468,-120.18,6.0,D,3342099.0,11.0,0.0
1968/01/02,09:50:45.53,le,3.09,l,35.705,-118.039,6.0,C,3329312.0,29.0,0.0
1968/01/02,11:01:18.17,le,2.88,l,35.741,-118.061,6.0,C,3329313.0,27.0,0.0
1968/01/04,06:12:38.27,le,2.59,l,35.111,-119.086,6.0,C,3329314.0,23.0,0.0
1968/01/04,06:19:25.15,le,2.37,l,35.118,-119.099,6.0,C,3329315.0,18.0,0.0
1968/01/04,09:45:42.71,le,3.52,l,36.513,-116.998,6.0,C,3329316.0,33.0,0.0
1968/01/04,11:37:08.19,le,3.31,l,32.276,-117.089,6.0,C,3329317.0,15.0,0.0
1968/01/05,10:50:55.51,le,2.84,l,35.688,-118.114,6.0,C,3329319.0,22.0,0.0
1968/01/06,00:25:59.35,le,3.01,l,35.09,-119.059,5.0,C,3329320.0,34.0,0.0
1968/01/09,23:06:12.48,le,2.21,h,34.864,-118.735,0.4,C,3329322.0,20.0,0.0
1968/01/11,23:17:00.14,le,3.26,l,33.417,-116.809,18.0,C,3329323.0,26.0,0.0
1968/01/12,23:45:37.63,qb,2.86,l,34.657,-118.695,6.0,C,3342100.0,26.0,0.0
1968/01/14,04:32:52.84,le,2.92,l,35.375,-117.918,6.0,C,3329324.0,30.0,0.0
1968/01/14,04:34:10.44,le,2.84,l,35.367,-117.916,6.0,C,3329325.0,24.0,0.0
1968/01/14,21:21:59.06,le,3.33,l,33.043,-116.459,6.0,C,3329326.0,23.0,0.0
1968/01/15,12:37:39.69,le,2.44,l,36.077,-117.807,6.0,C,3329327.0,14.0,0.0
1968/01/15,12:53:55.19,le,2.28,h,35.38,-117.936,6.0,C,3329328.0,10.0,0.0
1968/01/15,13:36:14.90,le,2.15,l,36.028,-117.836,6.0,C,3329329.0,7.0,0.0
1968/01/17,19:34:55.70,le,3.05,l,33.027,-116.381,6.0,C,3329330.0,21.0,0.0
1968/01/18,21:22:32.22,le,3.11,l,33.908,-118.45,6.0,C,3329332.0,28.0,0.0
1968/01/18,23:51:54.86,qb,2.76,l,34.668,-118.708,0.0,C,3342101.0,22.0,0.0
1968/01/19,06:22:53.90,le,2.49,l,34.176,-117.326,0.0,C,3329333.0,20.0,0.0
1968/01/19,12:08:55.13,le,2.97,l,33.965,-118.286,2.5,B,3329334.0,27.0,0.0
1968/01/19,16:21:18.08,le,3.21,l,35.838,-119.86,6.0,C,3329337.0,16.0,0.0
1968/01/21,00:28:29.94,le,3.03,l,33.702,-117.936,6.0,C,3329338.0,26.0,0.0
1968/01/22,04:06:43.05,le,2.81,l,33.792,-116.185,6.0,C,3329339.0,24.0,0.0
1968/01/22,12:32:05.60,le,2.57,l,33.817,-116.194,6.0,C,3329272.0,21.0,0.0
1968/01/22,18:42:35.35,le,2.60,h,35.825,-117.616,2.6,D,3342102.0,7.0,0.0
1968/01/23,15:10:37.34,le,2.20,l,33.676,-117.971,6.0,C,3329274.0,15.0,0.0
1968/01/23,21:22:29.56,le,2.74,l,34.142,-119.233,6.0,C,3329275.0,30.0,0.0
1968/01/24,23:45:51.75,qb,2.26,l,34.595,-118.878,0.0,C,3342104.0,18.0,0.0
1968/01/25,00:41:21.05,le,2.88,l,33.11,-116.238,6.0,C,3329276.0,21.0,0.0
1968/01/25,12:10:03.01,le,2.85,l,35.362,-117.904,6.0,C,3329277.0,31.0,0.0
1968/01/25,13:54:59.05,le,3.05,l,33.001,-115.626,6.0,C,3329278.0,12.0,0.0
1968/01/25,17:37:37.67,le,3.03,l,35.233,-119.219,6.0,C,3329279.0,18.0,0.0
1968/01/28,03:47:59.23,le,3.27,l,33.183,-116.318,6.0,C,3329282.0,28.0,0.0
1968/01/30,11:50:13.99,le,3.07,l,33.889,-118.465,2.5,C,3329283.0,32.0,0.0
1968/02/02,16:48:09.85,qb,2.18,l,33.397,-118.363,0.0,C,3357948.0,17.0,0.0
1968/02/03,11:59:14.05,le,3.45,l,35.078,-118.746,6.0,C,3329289.0,30.0,0.0
