YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1934/01/01,06:13:00.03,le,1.72,h,33.525,-117.726,6.0,C,3361780.0,1.0,0.0
1934/01/02,01:45:00.07,le,2.66,l,33.585,-118.345,6.0,C,3361781.0,1.0,0.0
1934/01/02,01:46:00.06,le,2.06,h,33.615,-118.351,6.0,C,3361782.0,1.0,0.0
1934/01/02,07:04:00.01,le,2.69,l,36.064,-118.499,6.0,C,3361783.0,2.0,0.0
1934/01/02,09:59:00.00,le,2.00,h,33.333,-115.583,6.0,Z,10087110.0,0.0,0.0
1934/01/03,15:29:15.29,le,2.08,l,33.676,-117.974,6.0,C,3361784.0,6.0,0.0
1934/01/03,19:38:15.09,le,2.19,h,33.825,-117.585,6.0,C,3361785.0,6.0,0.0
1934/01/04,04:01:00.07,le,1.98,l,33.558,-117.831,6.0,C,3361786.0,1.0,0.0
1934/01/04,09:48:20.34,le,2.05,l,33.668,-118.315,6.0,C,3361787.0,7.0,0.0
1934/01/05,23:08:22.69,le,3.19,l,33.967,-118.21,6.9,C,3361789.0,11.0,0.0
1934/01/06,08:51:16.36,le,2.83,l,33.234,-118.088,6.0,D,3361790.0,6.0,0.0
1934/01/06,21:57:21.10,le,2.00,l,33.941,-117.506,6.0,C,3361791.0,4.0,0.0
1934/01/08,04:32:23.49,le,2.06,l,33.687,-118.067,6.0,C,3361792.0,4.0,0.0
1934/01/08,04:34:00.04,le,1.77,h,33.567,-118.0,6.0,C,3361793.0,1.0,0.0
1934/01/08,20:15:27.24,le,2.65,l,34.073,-117.667,6.0,C,3361794.0,6.0,0.0
1934/01/08,22:17:35.56,le,2.30,l,33.783,-118.133,6.0,D,3361796.0,4.0,0.0
1934/01/09,10:46:05.26,le,2.51,l,32.959,-117.751,6.0,C,3361798.0,8.0,0.0
1934/01/09,11:40:32.06,le,1.89,l,33.848,-117.803,6.0,C,3361799.0,6.0,0.0
1934/01/09,12:47:43.46,le,3.19,l,34.51,-120.674,6.0,C,3361800.0,10.0,0.0
1934/01/09,14:10:32.15,le,4.30,l,34.123,-117.662,8.6,B,3361801.0,13.0,0.0
1934/01/09,14:16:00.05,le,1.67,h,33.96,-117.715,6.0,C,3361802.0,1.0,0.0
1934/01/09,14:20:00.02,le,1.89,l,34.089,-117.678,6.0,C,3361804.0,1.0,0.0
