YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1979/01/01,02:41:11.64,le,1.50,h,34.154,-116.06,11.2,A,3345160.0,15.0,0.0
1979/01/01,02:56:36.31,le,1.50,h,33.513,-116.77,12.3,A,3345161.0,20.0,0.0
1979/01/01,09:22:02.21,le,2.04,h,32.59,-117.853,6.0,C,9689734.0,4.0,0.0
1979/01/01,11:57:40.66,le,2.03,h,34.009,-116.11,1.9,A,3345162.0,25.0,0.0
1979/01/01,13:48:53.45,le,1.94,h,34.023,-116.4,9.2,A,3345164.0,32.0,0.0
1979/01/01,17:11:35.93,le,1.92,h,33.509,-116.523,14.5,A,12228811.0,24.0,0.0
1979/01/01,17:12:04.73,le,3.29,l,33.501,-116.519,15.2,A,3345165.0,78.0,0.0
1979/01/01,17:44:55.85,le,2.00,h,33.508,-116.532,13.9,A,3345166.0,37.0,0.0
1979/01/01,20:38:18.12,le,3.04,l,34.936,-119.171,0.0,A,3345168.0,46.0,0.0
1979/01/01,23:14:38.62,le,5.21,l,33.916,-118.687,13.3,A,12228815.0,100.0,0.0
1979/01/01,23:15:35.59,le,3.00,h,34.096,-118.737,10.0,C,3345169.0,10.0,0.0
1979/01/01,23:19:04.73,le,2.92,l,33.963,-118.738,12.8,A,3345170.0,34.0,0.0
1979/01/01,23:19:56.10,le,1.20,h,33.9,-118.75,12.0,C,12228823.0,7.0,0.0
1979/01/01,23:20:15.81,le,2.80,l,33.951,-118.683,5.6,C,12228827.0,23.0,0.0
1979/01/01,23:21:23.72,le,1.00,h,33.916,-118.674,18.3,B,12228847.0,7.0,0.0
1979/01/01,23:21:36.09,le,2.99,l,33.951,-118.7,7.7,A,3345171.0,39.0,0.0
1979/01/01,23:22:14.31,le,3.37,l,33.929,-118.697,12.1,A,12228831.0,44.0,0.0
1979/01/01,23:23:24.79,le,1.00,h,33.952,-118.702,15.4,B,12228835.0,7.0,0.0
1979/01/01,23:23:34.60,le,1.00,h,33.97,-118.695,11.3,B,12228839.0,8.0,0.0
1979/01/01,23:23:46.44,le,0.80,h,33.96,-118.721,13.2,A,12228843.0,7.0,0.0
1979/01/01,23:24:47.16,le,1.00,h,33.948,-118.703,19.2,B,12228875.0,10.0,0.0
1979/01/01,23:24:57.39,le,2.98,l,33.921,-118.678,8.4,A,12228871.0,50.0,0.0
1979/01/01,23:25:51.43,le,2.67,l,33.906,-118.677,11.5,A,12228867.0,32.0,0.0
1979/01/01,23:26:04.66,le,2.00,h,33.964,-118.672,10.5,B,12228863.0,7.0,0.0
1979/01/01,23:26:13.60,le,2.00,h,33.919,-118.69,10.1,C,12228859.0,10.0,0.0
1979/01/01,23:26:25.34,le,2.91,l,33.953,-118.698,13.2,B,12228855.0,22.0,0.0
1979/01/01,23:27:05.65,le,1.00,h,33.927,-118.71,12.6,B,12228851.0,7.0,0.0
1979/01/01,23:27:43.22,le,1.50,h,33.937,-118.678,0.0,C,3345172.0,12.0,0.0
1979/01/01,23:29:18.18,le,1.00,h,33.945,-118.699,13.3,B,12228879.0,7.0,0.0
1979/01/01,23:29:25.18,le,1.50,h,33.945,-118.676,5.4,C,12228883.0,18.0,0.0
1979/01/01,23:29:25.51,le,3.82,l,33.929,-118.68,13.7,A,3345173.0,59.0,0.0
1979/01/01,23:30:23.66,le,1.50,h,33.944,-118.679,5.9,C,12228887.0,7.0,0.0
1979/01/01,23:30:56.56,le,1.00,h,33.98,-118.669,0.7,C,12228891.0,8.0,0.0
1979/01/01,23:32:04.46,le,2.00,h,33.933,-118.683,9.4,B,12228899.0,9.0,0.0
1979/01/01,23:32:12.00,le,2.98,l,33.925,-118.674,9.3,A,3345174.0,31.0,0.0
1979/01/01,23:32:31.24,le,2.50,h,33.906,-118.695,17.2,B,12228895.0,7.0,0.0
1979/01/01,23:36:10.37,le,1.00,h,33.926,-118.691,3.0,B,12228911.0,7.0,0.0
1979/01/01,23:36:23.14,le,1.00,h,33.929,-118.686,13.3,C,12228903.0,5.0,0.0
1979/01/01,23:36:25.40,le,1.50,h,33.95,-118.713,14.3,B,12228907.0,8.0,0.0
1979/01/01,23:36:29.12,le,2.99,l,33.946,-118.701,10.3,A,3345175.0,40.0,0.0
1979/01/01,23:38:06.44,le,1.50,h,33.943,-118.684,12.1,C,12228915.0,6.0,0.0
1979/01/01,23:41:04.94,le,2.28,h,33.94,-118.682,10.5,A,3345176.0,26.0,0.0
1979/01/01,23:42:05.81,le,1.00,h,33.974,-118.71,10.6,B,12228919.0,4.0,0.0
1979/01/01,23:43:05.48,le,2.46,h,33.932,-118.704,8.2,A,3345177.0,22.0,0.0
1979/01/01,23:43:39.08,le,2.51,h,33.932,-118.674,9.2,B,12228923.0,26.0,0.0
1979/01/01,23:44:40.83,le,1.50,h,33.941,-118.724,17.5,B,12228931.0,7.0,0.0
1979/01/01,23:44:42.95,le,2.32,h,33.935,-118.719,12.3,B,12228927.0,18.0,0.0
1979/01/01,23:45:09.42,le,1.00,h,33.931,-118.69,13.0,B,12228935.0,6.0,0.0
1979/01/01,23:46:26.36,le,1.99,h,33.975,-118.704,12.5,A,12228943.0,16.0,0.0
1979/01/01,23:46:43.96,le,1.00,h,33.932,-118.683,14.7,A,12228939.0,10.0,0.0
1979/01/01,23:47:06.83,le,2.17,h,33.961,-118.714,10.2,A,3345178.0,22.0,0.0
1979/01/01,23:49:58.85,le,3.50,l,33.938,-118.678,12.3,A,3345180.0,67.0,0.0
1979/01/01,23:52:27.16,le,2.42,h,33.951,-118.707,10.4,B,3314396.0,15.0,0.0
1979/01/01,23:54:53.61,le,1.50,h,33.947,-118.716,13.7,A,3345182.0,12.0,0.0
1979/01/01,23:57:00.50,le,2.34,h,33.962,-118.701,15.8,A,12228951.0,11.0,0.0
1979/01/01,23:57:06.39,le,1.60,h,33.511,-116.526,14.1,A,3345183.0,27.0,0.0
1979/01/01,23:57:26.99,le,2.14,h,33.965,-118.719,15.9,A,12228947.0,12.0,0.0
1979/01/02,00:00:27.12,le,0.90,h,33.944,-118.706,11.5,C,12228955.0,6.0,0.0
1979/01/02,00:00:27.53,le,1.10,h,33.944,-118.682,15.4,A,3345184.0,10.0,0.0
1979/01/02,00:03:52.02,le,2.96,l,33.93,-118.699,12.5,A,12228959.0,42.0,0.0
1979/01/02,00:04:43.19,le,1.50,h,33.947,-118.722,15.9,B,3345185.0,8.0,0.0
1979/01/02,00:08:05.22,le,1.50,h,33.95,-118.689,8.1,B,3345186.0,10.0,0.0
1979/01/02,00:14:59.26,le,1.00,h,33.9,-118.718,15.2,A,3345187.0,9.0,0.0
