YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1953/01/01,03:05:52.45,le,3.56,l,35.069,-118.982,2.7,A,3308380.0,27.0,0.0
1953/01/01,17:36:56.79,le,2.93,l,32.74,-117.058,6.0,C,3308407.0,12.0,0.0
1953/01/03,00:27:19.97,le,2.93,l,35.309,-118.592,6.0,C,3308417.0,21.0,0.0
1953/01/03,12:38:47.47,le,2.73,l,35.165,-118.738,6.0,C,3308425.0,10.0,0.0
1953/01/03,13:56:34.76,le,2.72,l,35.116,-119.021,6.8,D,3308433.0,11.0,0.0
1953/01/05,10:28:59.27,le,2.92,l,35.448,-118.691,6.2,C,3308445.0,20.0,0.0
1953/01/06,21:53:39.88,le,3.25,l,34.998,-119.107,6.1,B,3308455.0,13.0,0.0
1953/01/07,10:24:49.63,le,2.63,l,35.401,-118.695,22.3,C,3308461.0,10.0,0.0
1953/01/09,11:52:06.04,le,3.85,l,35.302,-118.582,6.0,C,3308478.0,16.0,0.0
1953/01/10,00:41:33.54,le,2.88,l,35.302,-118.596,6.0,C,3308542.0,17.0,0.0
1953/01/10,22:17:38.63,le,3.94,l,35.168,-118.575,6.0,C,3308549.0,22.0,0.0
1953/01/11,08:44:55.75,le,2.27,l,34.587,-117.019,6.0,C,3308550.0,7.0,0.0
1953/01/12,04:54:29.86,le,3.18,l,35.279,-118.517,6.0,C,3308551.0,12.0,0.0
1953/01/14,23:50:52.46,le,3.21,l,35.436,-118.742,5.4,C,3308552.0,14.0,0.0
1953/01/15,00:59:01.68,le,2.91,l,35.317,-118.549,6.0,C,3308553.0,19.0,0.0
1953/01/15,07:23:00.35,le,2.57,h,35.118,-118.403,1.0,C,3308554.0,8.0,0.0
1953/01/15,10:31:43.15,le,3.82,l,32.047,-115.228,6.0,D,3317310.0,7.0,0.0
1953/01/15,14:20:04.86,le,3.11,l,35.399,-118.636,6.0,C,3317311.0,14.0,0.0
1953/01/15,17:39:40.05,le,3.03,l,35.025,-118.857,0.2,C,3317313.0,13.0,0.0
1953/01/16,00:43:25.32,le,3.15,l,35.026,-118.938,0.0,C,3317314.0,11.0,0.0
1953/01/16,03:42:34.02,le,2.95,l,34.091,-116.97,6.0,C,3317315.0,8.0,0.0
1953/01/16,17:57:50.22,le,2.93,l,34.926,-118.971,6.0,C,3317316.0,12.0,0.0
1953/01/17,05:46:22.45,le,2.88,l,35.246,-118.436,6.0,C,3317317.0,8.0,0.0
1953/01/17,09:08:56.82,le,2.94,l,35.089,-118.547,6.0,C,3317318.0,8.0,0.0
1953/01/18,16:15:09.72,le,3.22,l,35.377,-118.498,6.0,D,3317319.0,8.0,0.0
1953/01/18,23:24:15.15,le,3.09,l,35.334,-118.561,6.0,C,3317320.0,9.0,0.0
1953/01/19,01:12:33.48,le,3.62,l,35.33,-118.634,1.0,C,3317321.0,15.0,0.0
1953/01/19,14:47:22.17,le,3.18,l,35.025,-118.679,6.0,C,3317322.0,14.0,0.0
1953/01/20,08:13:22.08,le,4.03,l,35.317,-118.515,6.0,C,3317323.0,21.0,0.0
1953/01/20,15:03:07.26,le,2.80,l,35.075,-118.348,6.0,C,3317325.0,18.0,0.0
1953/01/21,01:05:07.05,le,3.16,l,34.978,-118.95,5.4,A,3317327.0,15.0,0.0
1953/01/21,03:30:36.68,le,2.87,l,35.309,-118.561,6.0,C,3317328.0,11.0,0.0
1953/01/23,06:35:57.35,le,2.43,h,34.055,-117.241,9.0,C,3317330.0,6.0,0.0
1953/01/23,14:37:41.30,le,3.39,l,34.446,-116.594,6.0,C,3317331.0,18.0,0.0
1953/01/25,12:13:36.15,le,3.12,l,35.504,-118.879,2.4,C,3317333.0,21.0,0.0
1953/01/25,12:23:11.76,le,2.77,l,34.112,-117.353,13.3,B,3317334.0,16.0,0.0
1953/01/27,04:12:59.54,le,3.04,l,36.379,-117.933,6.0,C,3317335.0,9.0,0.0
1953/01/27,19:40:29.27,le,2.75,l,34.237,-117.174,2.1,D,3317336.0,12.0,0.0
1953/01/27,20:31:40.71,le,3.00,l,34.934,-119.105,6.0,C,3317337.0,9.0,0.0
1953/01/30,13:11:39.64,le,3.89,l,35.378,-118.538,6.0,C,3317338.0,24.0,0.0
1953/01/30,15:21:10.02,le,3.33,l,35.179,-119.017,6.0,C,3317339.0,20.0,0.0
1953/01/31,03:51:52.66,le,3.26,l,35.079,-118.302,6.0,C,3317483.0,26.0,0.0
1953/01/31,07:51:35.74,le,3.04,l,35.345,-118.663,6.0,C,3317484.0,13.0,0.0
1953/01/31,09:19:03.06,le,3.24,l,35.081,-118.24,6.0,C,3317485.0,22.0,0.0
1953/01/31,22:27:27.04,le,3.34,l,35.375,-118.508,6.0,C,3317486.0,27.0,0.0
1953/02/01,00:51:56.14,le,3.04,l,35.129,-118.609,6.0,C,3317487.0,7.0,0.0
1953/02/01,15:00:27.69,le,2.83,l,35.164,-118.65,6.0,C,3317488.0,8.0,0.0
1953/02/01,21:48:29.35,le,3.12,l,35.312,-118.481,6.0,C,3317490.0,22.0,0.0
1953/02/02,12:39:34.09,le,2.95,l,33.458,-116.435,6.0,C,3317509.0,10.0,0.0
1953/02/03,14:50:12.50,re,4.30,l,35.413,-121.212,6.0,C,3317510.0,19.0,0.0
1953/02/04,04:36:14.82,le,4.27,l,33.422,-116.486,6.0,C,3317511.0,21.0,0.0
1953/02/04,06:58:51.74,le,3.96,l,35.345,-118.605,6.0,C,3317512.0,21.0,0.0
1953/02/05,00:02:12.40,le,2.98,l,34.393,-116.659,1.3,B,3317513.0,15.0,0.0
1953/02/05,04:05:23.90,le,3.09,l,35.418,-118.661,6.0,C,3317515.0,10.0,0.0
1953/02/05,06:30:38.59,le,3.11,l,35.397,-118.609,6.0,C,3317516.0,9.0,0.0
1953/02/06,17:24:04.75,le,2.47,l,34.143,-117.596,3.5,B,3317517.0,14.0,0.0
1953/02/07,22:57:48.90,le,3.02,l,34.106,-117.421,13.7,A,3317520.0,14.0,0.0
1953/02/08,20:43:13.84,le,2.74,l,35.102,-118.419,6.0,C,3317521.0,12.0,0.0
1953/02/09,09:38:00.05,le,2.83,l,35.272,-118.474,6.0,C,3317522.0,11.0,0.0
1953/02/09,14:44:53.64,le,3.78,l,35.35,-118.626,6.0,C,3317523.0,20.0,0.0
1953/02/11,05:25:10.85,le,3.06,l,35.307,-118.727,6.0,C,3317524.0,10.0,0.0
1953/02/11,09:16:08.14,le,3.04,l,35.412,-118.793,6.0,C,3317525.0,10.0,0.0
1953/02/11,10:03:20.54,le,2.98,l,35.36,-118.589,6.0,C,3317526.0,11.0,0.0
1953/02/11,17:15:38.16,le,2.84,l,34.007,-117.605,2.6,A,3317528.0,17.0,0.0
1953/02/12,13:04:03.83,le,2.86,l,35.268,-118.573,6.0,D,3317529.0,5.0,0.0
1953/02/12,13:32:33.12,le,2.79,l,35.029,-119.078,6.0,C,3317530.0,6.0,0.0
1953/02/13,11:53:54.67,le,2.87,l,35.332,-118.743,6.0,C,3317531.0,6.0,0.0
1953/02/14,01:16:43.87,le,2.97,l,35.363,-118.573,6.0,C,3317532.0,7.0,0.0
1953/02/14,01:57:36.09,le,2.93,l,33.784,-116.089,6.0,C,3317533.0,9.0,0.0
1953/02/14,10:08:40.43,le,2.91,l,35.163,-118.752,6.0,C,3317535.0,10.0,0.0
1953/02/14,22:06:34.98,le,2.95,l,35.326,-118.572,6.0,C,3317536.0,7.0,0.0
1953/02/15,03:14:52.74,le,2.87,l,34.153,-117.469,6.0,C,3317538.0,12.0,0.0
1953/02/15,08:11:56.22,le,3.26,l,35.076,-119.041,0.2,B,3317539.0,24.0,0.0
1953/02/15,20:59:41.26,le,3.77,l,35.303,-118.646,6.0,C,3317540.0,26.0,0.0
1953/02/15,21:04:21.51,le,3.63,l,35.295,-118.593,6.0,C,3317541.0,23.0,0.0
1953/02/16,01:29:11.88,le,3.05,l,35.314,-118.613,6.0,C,3317542.0,8.0,0.0
1953/02/16,07:55:04.46,le,3.00,l,34.982,-119.3,6.0,C,3317544.0,11.0,0.0
1953/02/16,20:48:09.09,le,2.74,l,35.373,-118.534,6.0,C,3317547.0,8.0,0.0
1953/02/17,05:42:17.12,le,3.10,l,35.026,-116.941,6.0,C,3317548.0,26.0,0.0
1953/02/17,06:50:01.19,le,2.95,l,35.386,-118.568,6.0,C,3317550.0,7.0,0.0
