YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1946/01/01,23:56:31.97,le,3.38,l,32.683,-117.267,13.9,B,3360122.0,12.0,0.0
1946/01/06,00:53:37.83,le,2.57,l,33.991,-117.263,18.8,D,3360123.0,7.0,0.0
1946/01/08,18:54:19.63,le,5.33,l,33.111,-116.001,6.0,D,3360124.0,14.0,0.0
1946/01/09,22:52:46.01,le,2.94,l,33.106,-116.182,6.0,C,3360125.0,12.0,0.0
1946/01/09,23:40:57.03,le,2.71,l,33.11,-116.469,0.1,C,3360127.0,11.0,0.0
1946/01/11,20:23:52.91,le,2.85,l,34.093,-116.745,6.0,C,3360128.0,11.0,0.0
1946/01/13,17:12:58.36,le,3.64,l,34.43,-117.953,0.2,C,3360129.0,18.0,0.0
1946/01/16,11:06:59.69,le,4.04,l,32.831,-115.936,6.0,C,3360133.0,16.0,0.0
1946/01/17,12:21:41.22,le,3.55,l,34.893,-118.978,6.0,C,3360134.0,16.0,0.0
1946/01/26,14:34:37.63,le,2.86,l,33.974,-116.695,6.0,C,3360136.0,12.0,0.0
1946/01/31,23:12:39.88,le,2.65,l,33.864,-118.145,0.3,C,3360137.0,15.0,0.0
1946/01/31,23:14:10.50,le,2.00,l,33.809,-118.281,6.0,C,3360138.0,6.0,0.0
1946/01/31,23:24:58.41,le,2.12,l,33.835,-118.242,6.0,C,3360139.0,5.0,0.0
1946/02/01,07:45:09.13,le,2.83,l,34.116,-115.914,6.0,C,3360140.0,13.0,0.0
1946/02/04,07:03:59.48,le,2.58,l,33.845,-119.092,6.0,C,3360145.0,11.0,0.0
1946/02/04,11:10:23.06,le,2.19,l,33.747,-117.804,6.0,C,3360147.0,9.0,0.0
1946/02/05,16:04:34.61,le,3.35,l,33.476,-116.487,2.2,C,3360149.0,12.0,0.0
1946/02/05,16:05:18.62,le,3.16,l,33.463,-116.499,1.1,B,3360151.0,10.0,0.0
1946/02/07,00:22:37.14,le,2.45,l,33.979,-117.195,4.9,B,3360141.0,7.0,0.0
1946/02/07,09:00:48.14,le,2.86,l,33.369,-116.332,6.0,C,3360143.0,10.0,0.0
1946/02/09,02:55:29.22,le,2.70,l,34.352,-119.597,6.0,C,3360144.0,13.0,0.0
1946/02/13,10:18:38.13,le,3.68,l,34.902,-117.347,6.0,C,3360153.0,24.0,0.0
1946/02/13,21:02:00.96,le,2.82,l,34.89,-119.204,6.0,C,3360154.0,13.0,0.0
1946/02/15,06:16:45.33,le,2.74,l,34.113,-117.48,3.5,B,3360156.0,13.0,0.0
1946/02/15,14:23:36.25,le,2.76,l,33.093,-116.434,6.0,C,3360157.0,10.0,0.0
1946/02/15,23:11:33.73,le,2.76,l,35.34,-118.635,6.0,C,3360158.0,16.0,0.0
1946/02/17,17:58:20.49,le,2.79,l,34.46,-116.563,6.0,C,3360159.0,12.0,0.0
1946/02/17,19:31:25.18,le,2.76,l,34.154,-117.419,2.6,B,3360160.0,16.0,0.0
1946/02/20,09:48:37.77,le,3.00,l,33.179,-116.019,6.0,C,3360162.0,12.0,0.0
1946/02/20,13:11:38.36,le,2.80,l,34.102,-118.106,11.1,B,3360163.0,12.0,0.0
1946/02/24,05:22:09.31,le,2.75,l,34.188,-116.933,6.0,C,3360165.0,11.0,0.0
1946/02/24,06:07:54.57,le,3.88,l,34.323,-117.83,21.6,B,3360167.0,20.0,0.0
1946/03/05,14:01:15.03,le,2.68,l,35.759,-117.784,0.0,D,3360168.0,14.0,0.0
1946/03/06,14:08:19.06,le,2.41,l,34.803,-118.671,6.0,D,3360169.0,13.0,0.0
1946/03/09,15:35:13.19,le,2.87,l,33.961,-116.718,6.0,C,3360170.0,13.0,0.0
1946/03/11,18:45:58.80,le,2.82,l,34.497,-116.332,6.0,C,3360171.0,9.0,0.0
1946/03/15,13:21:01.91,le,5.43,l,35.723,-117.941,6.0,C,3360172.0,12.0,0.0
1946/03/15,13:49:37.09,le,6.30,h,35.702,-117.944,6.0,C,3360174.0,10.0,0.0
1946/03/15,14:00:36.68,le,5.19,l,35.691,-117.75,6.0,C,3360176.0,11.0,0.0
1946/03/15,15:00:10.22,le,4.39,l,35.787,-117.753,6.0,C,3360179.0,13.0,0.0
1946/03/15,17:15:22.75,le,3.61,l,35.69,-117.839,6.0,C,3360180.0,16.0,0.0
1946/03/15,19:18:54.84,le,5.43,l,35.678,-117.82,6.0,C,3360181.0,13.0,0.0
1946/03/15,21:54:35.12,le,5.04,l,35.697,-118.052,6.0,D,3360183.0,11.0,0.0
1946/03/15,22:54:02.00,le,4.20,h,35.667,-117.8,6.0,Z,10084918.0,3.0,0.0
1946/03/16,01:54:18.00,le,3.80,h,35.667,-117.8,6.0,Z,10084922.0,2.0,0.0
1946/03/16,01:59:25.00,le,3.70,h,35.667,-117.8,6.0,Z,10084926.0,2.0,0.0
1946/03/16,04:07:56.00,le,3.70,h,35.667,-117.8,6.0,Z,10084930.0,2.0,0.0
1946/03/16,05:15:21.79,le,3.20,l,35.638,-118.273,6.0,C,3360185.0,11.0,0.0
1946/03/16,05:49:22.53,le,2.57,l,33.903,-118.413,6.0,C,3360187.0,10.0,0.0
1946/03/16,07:53:18.00,le,3.60,h,35.667,-117.8,6.0,Z,10084934.0,2.0,0.0
1946/03/16,08:15:35.00,le,3.80,h,35.667,-117.8,6.0,Z,10084938.0,2.0,0.0
1946/03/16,09:05:24.34,le,2.69,l,35.489,-118.835,6.0,C,3360188.0,7.0,0.0
1946/03/16,09:20:34.29,le,2.42,l,35.704,-118.233,6.0,C,10084942.0,4.0,0.0
1946/03/16,09:46:18.75,le,4.83,l,35.703,-118.102,0.5,C,3360191.0,15.0,0.0
1946/03/16,13:07:05.00,le,4.10,h,35.733,-118.033,6.0,Z,10084946.0,2.0,0.0
1946/03/16,13:24:41.00,le,3.60,h,35.733,-118.033,6.0,Z,10084950.0,2.0,0.0
1946/03/16,15:22:31.00,le,3.60,h,35.733,-118.033,6.0,Z,10084954.0,2.0,0.0
1946/03/16,17:35:34.00,le,3.60,h,35.733,-118.033,6.0,Z,10084958.0,2.0,0.0
1946/03/16,18:43:59.00,le,3.60,h,35.733,-118.033,6.0,Z,10084962.0,2.0,0.0
1946/03/16,19:53:59.00,le,4.00,h,35.733,-118.033,6.0,Z,10084966.0,2.0,0.0
1946/03/16,20:08:08.00,le,3.80,h,35.733,-118.033,6.0,Z,10084970.0,2.0,0.0
1946/03/16,21:40:47.00,le,3.90,h,35.733,-118.033,6.0,Z,10084974.0,2.0,0.0
1946/03/16,23:41:06.00,le,3.70,h,35.733,-118.033,6.0,Z,10084978.0,2.0,0.0
1946/03/16,23:44:35.00,le,3.60,h,35.733,-118.033,6.0,Z,10084982.0,2.0,0.0
1946/03/17,02:23:11.00,le,3.50,h,35.733,-118.033,6.0,Z,10084986.0,2.0,0.0
1946/03/17,02:55:26.00,le,3.60,h,35.733,-118.033,6.0,Z,10084990.0,2.0,0.0
1946/03/17,06:03:48.50,le,4.15,l,35.636,-117.824,6.0,C,3360200.0,10.0,0.0
1946/03/17,08:16:36.81,le,4.12,l,35.649,-117.857,6.0,D,3360202.0,9.0,0.0
1946/03/17,08:25:35.42,le,3.41,l,35.733,-118.033,6.0,D,10084994.0,5.0,0.0
1946/03/17,09:04:44.00,le,3.70,h,35.733,-118.033,6.0,Z,10084998.0,3.0,0.0
1946/03/17,09:25:53.98,le,3.76,l,35.64,-118.044,6.0,D,3360208.0,8.0,0.0
1946/03/17,09:38:35.00,le,3.60,h,35.733,-118.033,6.0,Z,10085006.0,3.0,0.0
1946/03/17,11:23:32.00,le,3.30,h,35.733,-118.033,6.0,Z,10085010.0,3.0,0.0
1946/03/17,13:32:00.00,le,3.70,h,35.733,-118.033,6.0,Z,10085014.0,3.0,0.0
1946/03/17,20:53:58.00,le,3.80,h,35.733,-118.033,6.0,Z,10085026.0,2.0,0.0
1946/03/17,21:03:21.00,le,3.50,h,35.733,-118.033,6.0,Z,10085030.0,3.0,0.0
1946/03/17,21:08:20.00,le,3.70,h,35.733,-118.033,6.0,Z,10085034.0,2.0,0.0
1946/03/17,21:18:35.00,le,4.00,h,35.733,-118.033,6.0,Z,10085038.0,2.0,0.0
