YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1992/01/01,00:40:07.47,le,0.80,h,36.181,-118.044,2.3,B,2038429.0,16.0,0.0
1992/01/01,06:51:17.50,le,2.14,c,33.21,-116.752,7.2,C,2038431.0,44.0,0.0
1992/01/01,08:37:55.95,le,1.36,c,33.975,-116.556,8.7,B,2038433.0,24.0,0.0
1992/01/01,09:09:38.91,le,2.98,l,35.391,-118.227,5.5,C,2038434.0,93.0,0.0
1992/01/01,09:26:43.46,le,1.74,c,33.187,-115.614,3.9,A,2038435.0,16.0,0.0
1992/01/01,09:32:40.55,le,1.23,c,35.388,-118.224,10.9,C,754256.0,17.0,0.0
1992/01/01,09:44:15.08,le,2.58,c,35.39,-118.229,8.3,C,2038436.0,44.0,0.0
1992/01/01,10:37:58.98,le,1.20,h,35.541,-117.378,9.1,B,2038437.0,9.0,0.0
1992/01/01,12:35:35.53,le,1.23,c,36.038,-117.801,0.0,B,2038438.0,16.0,0.0
1992/01/01,14:01:13.05,le,1.50,h,33.666,-117.828,3.1,C,2038439.0,13.0,0.0
1992/01/01,14:05:35.15,le,1.13,c,36.092,-117.852,2.2,A,2038440.0,19.0,0.0
1992/01/01,15:48:52.51,le,1.00,h,35.543,-117.422,0.0,C,2038442.0,9.0,0.0
1992/01/01,17:03:41.13,le,2.84,c,35.934,-118.319,5.7,C,2038444.0,35.0,0.0
1992/01/01,17:18:15.42,le,1.88,c,35.542,-117.379,7.9,A,2038445.0,24.0,0.0
1992/01/01,18:01:49.55,le,1.20,h,35.536,-117.4,6.8,C,2038446.0,13.0,0.0
1992/01/01,19:40:25.33,le,2.08,c,34.421,-116.415,2.3,B,2038449.0,16.0,0.0
1992/01/01,19:41:05.37,le,0.80,h,35.589,-117.349,6.0,C,2038450.0,7.0,0.0
1992/01/01,20:19:05.87,le,1.21,c,35.362,-117.86,10.4,B,2038451.0,13.0,0.0
1992/01/01,21:04:41.87,le,2.17,c,33.995,-116.805,9.8,A,2038452.0,34.0,0.0
1992/01/01,22:20:28.11,le,1.73,c,33.815,-117.684,5.6,A,2038455.0,26.0,0.0
1992/01/01,23:03:12.58,le,1.02,c,33.367,-116.363,11.8,C,2038456.0,8.0,0.0
1992/01/02,04:03:23.93,le,1.30,h,32.735,-115.428,13.2,C,2038460.0,12.0,0.0
1992/01/02,04:23:13.59,le,1.50,h,33.977,-116.734,19.3,A,2038461.0,21.0,0.0
1992/01/02,07:42:16.30,le,2.57,c,35.304,-118.512,6.5,C,2038462.0,45.0,0.0
1992/01/02,08:11:44.36,le,1.65,c,34.638,-118.664,11.8,A,2038464.0,24.0,0.0
1992/01/02,09:50:07.54,le,1.09,c,35.998,-117.789,0.0,C,2038466.0,15.0,0.0
1992/01/02,12:41:04.97,le,1.30,h,34.939,-119.06,9.3,A,2038468.0,12.0,0.0
1992/01/02,12:46:24.55,le,1.50,h,33.974,-116.673,15.9,A,2038469.0,19.0,0.0
1992/01/02,14:15:50.81,le,2.46,c,34.2,-116.075,9.9,A,2038470.0,28.0,0.0
1992/01/02,17:59:30.63,le,1.20,h,33.28,-116.189,2.7,A,2038479.0,10.0,0.0
1992/01/02,18:28:03.56,le,1.10,h,35.39,-118.224,11.4,B,2038482.0,18.0,0.0
1992/01/02,19:22:23.58,qb,2.45,c,33.06,-115.0,0.0,C,2038488.0,4.0,0.0
1992/01/02,20:04:26.00,le,1.37,c,35.985,-117.428,6.0,C,2038489.0,9.0,0.0
1992/01/02,20:27:06.54,le,1.86,c,35.801,-118.058,12.5,A,2038490.0,26.0,0.0
1992/01/02,21:20:01.48,le,1.73,c,33.532,-116.456,6.0,C,2038500.0,26.0,0.0
1992/01/02,22:41:47.63,qb,1.60,n,34.63,-117.12,0.0,C,2038517.0,7.0,0.0
1992/01/02,23:00:10.94,qb,1.50,n,35.35,-117.65,0.0,C,2038520.0,8.0,0.0
1992/01/02,23:10:21.21,qb,1.91,c,35.03,-117.68,0.0,C,2038521.0,7.0,0.0
1992/01/03,02:39:51.62,le,2.05,c,34.389,-116.843,0.0,B,2038527.0,12.0,0.0
1992/01/03,03:44:56.16,le,1.20,h,35.766,-118.468,4.7,A,2038529.0,17.0,0.0
1992/01/03,04:19:14.02,re,2.23,c,36.067,-120.114,6.0,D,754292.0,12.0,0.0
1992/01/03,05:28:22.88,le,1.55,c,33.955,-116.581,5.7,C,2038532.0,23.0,0.0
1992/01/03,05:45:36.29,le,0.90,h,32.939,-116.343,7.3,C,2038533.0,9.0,0.0
1992/01/03,07:57:47.36,re,2.28,c,36.093,-119.935,6.0,C,2038534.0,15.0,0.0
1992/01/03,09:48:47.95,re,0.00,n,36.513,-121.177,6.0,D,2038535.0,17.0,0.0
1992/01/03,10:25:28.51,le,1.30,h,34.414,-116.415,6.0,C,2038536.0,10.0,0.0
1992/01/03,11:03:45.31,le,1.30,h,32.958,-116.215,7.7,B,2038537.0,11.0,0.0
1992/01/03,12:22:37.91,le,2.78,c,33.211,-116.755,6.5,C,2038538.0,50.0,0.0
1992/01/03,14:01:54.10,le,1.63,c,35.547,-117.413,2.9,A,2038539.0,19.0,0.0
1992/01/03,15:40:50.06,le,2.40,c,33.47,-116.411,6.0,C,2038545.0,45.0,0.0
1992/01/03,16:01:44.81,le,1.50,h,33.876,-116.13,10.4,A,2038548.0,15.0,0.0
1992/01/03,16:43:07.88,le,2.20,h,36.984,-118.274,6.0,C,2038550.0,14.0,0.0
1992/01/03,17:04:09.30,le,0.80,h,35.564,-117.396,3.3,A,2038551.0,8.0,0.0
1992/01/03,18:29:32.92,le,1.61,c,33.759,-116.209,3.1,A,2038554.0,16.0,0.0
1992/01/03,19:34:56.70,qb,2.23,c,33.06,-115.0,0.0,C,2038558.0,4.0,0.0
1992/01/03,20:46:36.73,le,1.40,h,33.258,-116.266,9.6,B,2038560.0,10.0,0.0
1992/01/03,23:06:32.30,qb,1.82,c,35.03,-117.68,0.0,C,2038566.0,10.0,0.0
