YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1951/01/04,22:57:35.37,le,2.77,l,33.209,-116.187,6.0,C,3322612.0,17.0,0.0
1951/01/05,14:42:27.79,le,3.03,l,32.999,-115.437,6.0,D,3322613.0,10.0,0.0
1951/01/05,22:15:56.68,le,3.29,l,32.572,-115.734,6.0,C,3322615.0,10.0,0.0
1951/01/07,00:18:03.03,le,2.42,l,34.443,-117.581,7.3,C,3322680.0,17.0,0.0
1951/01/08,12:30:01.96,le,2.75,l,33.597,-116.647,5.9,B,3322616.0,19.0,0.0
1951/01/09,05:27:50.76,le,2.20,l,36.262,-117.889,6.0,C,3322617.0,7.0,0.0
1951/01/19,17:48:52.03,le,3.17,l,34.984,-118.467,6.0,C,3322619.0,23.0,0.0
1951/01/23,07:22:12.78,le,2.82,l,33.117,-116.455,6.0,C,3322620.0,15.0,0.0
1951/01/24,07:16:52.62,le,5.95,l,32.622,-115.119,6.0,C,3322622.0,21.0,0.0
1951/01/24,07:33:03.71,le,3.84,l,32.831,-115.469,6.0,C,3322623.0,14.0,0.0
1951/01/24,07:42:30.65,le,3.70,l,33.004,-115.371,6.0,D,3322624.0,15.0,0.0
1951/01/24,09:38:17.55,le,3.39,l,32.864,-115.465,6.0,C,3322625.0,11.0,0.0
1951/01/24,09:55:54.91,le,3.79,l,32.823,-115.492,6.0,C,3322626.0,14.0,0.0
1951/01/24,14:45:37.35,le,3.57,l,32.944,-115.602,6.0,D,3322627.0,15.0,0.0
1951/01/24,20:05:52.66,le,3.32,l,32.989,-116.361,6.0,C,3322629.0,15.0,0.0
1951/01/25,14:55:09.59,le,2.93,l,33.065,-115.865,6.0,C,3322631.0,13.0,0.0
1951/01/26,12:06:05.35,le,2.99,l,33.044,-115.76,6.0,C,3322633.0,18.0,0.0
1951/01/27,20:57:50.57,le,2.84,l,34.03,-117.106,6.9,A,3322635.0,18.0,0.0
1951/01/28,23:11:34.53,le,2.98,l,33.132,-119.212,6.0,C,3322640.0,14.0,0.0
1951/01/29,09:46:26.80,le,2.98,l,36.37,-117.422,6.0,C,3322642.0,12.0,0.0
1951/01/30,15:34:05.81,le,2.66,h,35.718,-116.686,6.0,C,3322643.0,15.0,0.0
1951/02/04,02:56:16.14,le,2.29,h,35.756,-117.936,1.1,C,3322655.0,8.0,0.0
1951/02/04,20:52:18.21,le,2.49,l,33.959,-118.435,6.0,C,3322657.0,11.0,0.0
1951/02/06,13:47:03.37,qb,3.46,l,36.8,-115.95,0.4,D,3322659.0,19.0,0.0
1951/02/08,05:34:39.96,le,2.28,l,33.886,-118.243,0.0,C,3322660.0,18.0,0.0
1951/02/08,15:14:35.05,le,2.51,l,35.703,-116.681,6.0,C,3322661.0,15.0,0.0
1951/02/10,04:12:54.17,le,3.16,l,34.527,-118.615,6.0,C,3322663.0,20.0,0.0
1951/02/13,11:01:35.10,le,2.76,l,33.978,-117.024,3.3,C,3322665.0,16.0,0.0
1951/02/13,17:16:01.03,le,4.08,l,32.867,-115.773,6.0,D,3322666.0,16.0,0.0
1951/02/13,17:45:51.74,le,3.03,h,32.979,-115.716,6.0,C,3322669.0,8.0,0.0
1951/02/13,17:46:34.27,le,4.02,l,32.575,-115.748,6.0,C,3322671.0,9.0,0.0
1951/02/15,10:48:00.22,le,4.71,l,33.482,-116.601,3.4,C,3322675.0,20.0,0.0
1951/02/15,10:49:57.23,le,4.58,l,33.452,-116.489,6.0,C,3322677.0,10.0,0.0
1951/02/15,12:20:49.76,le,3.10,l,33.475,-116.503,14.2,B,3322678.0,18.0,0.0
1951/02/19,16:44:16.99,le,2.66,l,34.317,-117.501,11.6,C,3322557.0,15.0,0.0
1951/02/22,00:10:46.66,le,3.11,l,33.45,-116.455,3.8,B,3322558.0,17.0,0.0
1951/02/25,03:23:29.46,le,3.28,l,33.923,-115.824,6.0,C,3322559.0,20.0,0.0
1951/03/02,21:32:12.73,le,2.95,l,33.071,-116.245,6.0,D,3322606.0,12.0,0.0
1951/03/03,16:03:44.46,qb,1.91,h,34.077,-117.338,0.0,B,3322561.0,15.0,0.0
1951/03/04,01:31:01.21,re,4.27,h,34.75,-121.75,6.0,D,10086274.0,10.0,0.0
1951/03/04,02:21:54.99,le,2.46,l,34.256,-117.123,6.0,C,3322562.0,18.0,0.0
1951/03/06,02:54:17.27,le,3.08,l,34.039,-119.024,6.0,C,3322565.0,17.0,0.0
1951/03/10,15:52:24.41,le,3.72,l,34.028,-116.857,20.0,C,3322566.0,25.0,0.0
1951/03/11,18:55:10.49,le,2.60,l,35.785,-116.781,6.0,C,3322567.0,7.0,0.0
1951/03/11,20:50:42.35,le,2.84,l,33.922,-118.739,6.0,C,3322569.0,11.0,0.0
1951/03/14,05:01:47.64,le,3.07,l,33.804,-118.7,6.0,C,3322573.0,23.0,0.0
1951/03/15,13:50:42.29,le,3.75,l,34.795,-120.666,6.0,C,3322574.0,17.0,0.0
1951/03/21,17:10:44.84,le,2.69,h,33.849,-116.167,6.0,C,3322575.0,14.0,0.0
1951/03/21,20:26:30.39,le,2.76,h,33.535,-116.385,6.0,C,3322577.0,13.0,0.0
1951/03/22,08:43:55.90,le,2.47,l,33.751,-118.977,6.0,C,3322578.0,11.0,0.0
1951/03/24,10:19:43.95,le,2.64,l,33.885,-116.32,6.0,C,3322579.0,16.0,0.0
1951/03/26,00:25:57.11,le,3.47,l,34.921,-118.945,6.0,C,3322580.0,29.0,0.0
1951/03/26,06:07:33.21,le,3.45,l,34.154,-119.597,8.0,B,3322583.0,28.0,0.0
1951/03/29,23:39:30.16,le,4.30,l,33.276,-116.124,6.0,D,3322585.0,26.0,0.0
1951/03/30,03:03:02.24,le,3.54,l,33.3,-116.235,6.0,D,3322587.0,18.0,0.0
1951/03/31,02:01:53.86,le,2.77,l,35.954,-117.903,1.0,B,3322589.0,8.0,0.0
