YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1945/01/01,10:06:22.63,le,2.70,l,33.486,-116.536,1.8,B,3361022.0,14.0,0.0
1945/01/02,02:36:10.76,le,3.32,l,36.4,-117.794,6.0,C,3361024.0,12.0,0.0
1945/01/05,06:35:57.58,le,2.80,h,32.676,-118.252,6.0,D,10084798.0,13.0,0.0
1945/01/05,06:36:15.88,le,3.57,l,32.614,-118.305,6.0,C,10084802.0,12.0,0.0
1945/01/05,17:49:07.15,le,2.79,l,35.311,-116.829,6.0,C,3361032.0,14.0,0.0
1945/01/11,13:16:30.27,le,2.59,l,34.166,-117.231,5.7,C,3361035.0,10.0,0.0
1945/01/15,00:42:11.87,le,2.66,l,35.357,-116.766,6.0,C,3361036.0,11.0,0.0
1945/01/18,22:23:38.50,le,2.52,l,33.881,-117.062,13.5,B,3361037.0,13.0,0.0
1945/01/19,02:54:02.77,le,1.92,l,34.075,-118.279,5.3,B,3361038.0,8.0,0.0
1945/01/19,05:10:46.05,le,3.49,l,33.955,-118.301,0.0,C,3361039.0,19.0,0.0
1945/01/19,05:18:30.58,le,2.01,l,34.064,-118.3,3.2,D,3361040.0,10.0,0.0
1945/01/22,12:43:13.90,le,2.71,l,33.506,-116.601,6.0,D,3361042.0,10.0,0.0
1945/01/23,21:03:28.01,le,2.86,l,33.427,-116.659,14.5,B,3361043.0,11.0,0.0
1945/01/23,21:34:13.14,le,3.22,l,33.419,-116.844,16.1,B,3361044.0,12.0,0.0
1945/01/24,18:01:00.96,le,2.51,l,34.238,-117.153,2.2,C,3361045.0,9.0,0.0
1945/01/26,04:23:56.16,le,3.37,l,34.247,-117.156,1.3,B,10084806.0,19.0,0.0
1945/01/26,22:00:10.65,le,2.84,l,33.786,-118.607,4.9,C,3361047.0,14.0,0.0
1945/01/27,17:50:32.55,le,3.79,l,34.162,-120.703,6.0,D,3361048.0,18.0,0.0
1945/01/28,14:09:36.79,le,3.00,l,33.783,-116.182,6.0,C,3361049.0,12.0,0.0
1945/01/30,09:38:55.94,le,3.64,l,33.116,-116.182,6.0,C,3361050.0,19.0,0.0
1945/01/30,22:04:28.40,le,3.11,l,33.535,-116.555,5.4,C,3361051.0,14.0,0.0
1945/01/31,04:53:30.60,le,2.69,l,35.265,-117.845,6.0,C,3361052.0,11.0,0.0
1945/01/31,11:22:43.84,le,1.58,l,34.012,-118.053,11.6,C,3361054.0,12.0,0.0
1945/02/01,17:18:15.71,le,2.49,l,33.911,-117.32,0.2,D,3361055.0,7.0,0.0
1945/02/01,22:43:05.26,qb,2.62,l,34.079,-117.287,0.0,C,3361056.0,8.0,0.0
1945/02/01,22:47:02.79,qb,2.34,l,34.074,-117.296,1.1,B,3361057.0,12.0,0.0
1945/02/03,07:36:44.98,le,3.03,l,32.916,-118.322,6.0,C,3361058.0,14.0,0.0
1945/02/05,14:43:43.29,le,2.21,l,34.055,-118.386,17.2,D,3361060.0,10.0,0.0
1945/02/05,21:27:13.45,le,2.77,l,35.153,-118.862,0.1,C,3361061.0,14.0,0.0
1945/02/06,22:56:11.30,le,3.35,l,33.989,-118.455,13.5,D,3361062.0,17.0,0.0
1945/02/07,09:11:49.02,le,2.49,l,34.035,-118.288,17.5,C,3361063.0,12.0,0.0
1945/02/16,02:34:38.21,le,2.75,l,34.019,-117.733,11.3,C,3361065.0,13.0,0.0
1945/02/16,08:15:10.33,le,2.98,l,34.241,-117.155,8.5,B,3361066.0,16.0,0.0
1945/02/17,20:09:37.52,le,3.04,l,33.681,-117.95,6.0,C,3361067.0,14.0,0.0
1945/02/23,11:59:42.80,le,3.22,l,33.702,-116.902,6.0,C,3360599.0,16.0,0.0
1945/02/25,20:18:37.81,re,3.40,l,35.989,-120.745,6.0,D,3360602.0,13.0,0.0
1945/02/26,03:02:25.17,le,2.55,l,34.332,-117.644,11.1,B,3360632.0,9.0,0.0
1945/03/01,11:19:58.67,le,4.25,l,32.028,-116.134,6.0,D,10084814.0,14.0,0.0
1945/03/03,14:13:11.09,le,3.34,l,32.914,-116.007,6.0,C,3360639.0,19.0,0.0
1945/03/09,00:32:05.12,le,2.90,l,33.954,-116.254,6.0,C,3360640.0,14.0,0.0
1945/03/09,00:42:58.63,le,2.58,l,33.974,-116.349,6.0,C,3360641.0,14.0,0.0
1945/03/09,00:45:07.17,le,2.72,l,34.071,-116.754,6.0,C,3360666.0,12.0,0.0
1945/03/11,00:01:33.32,le,3.15,l,33.858,-116.17,6.0,C,10084818.0,15.0,0.0
1945/03/11,00:20:04.30,le,3.66,l,33.874,-116.223,6.0,C,3360707.0,20.0,0.0
1945/03/12,11:03:14.16,le,3.13,l,35.17,-117.38,0.0,C,3360721.0,20.0,0.0
1945/03/15,23:34:51.09,le,2.94,l,34.794,-119.028,6.0,C,10084822.0,18.0,0.0
1945/03/16,16:52:11.18,le,2.78,l,33.994,-116.578,6.0,C,3360725.0,9.0,0.0
1945/03/20,21:55:08.22,le,4.87,l,34.238,-116.141,6.0,C,3360727.0,22.0,0.0
1945/03/22,05:19:00.19,le,2.82,l,35.074,-118.87,6.0,C,3360737.0,15.0,0.0
1945/03/27,07:31:31.38,le,3.08,l,34.09,-117.111,5.3,C,3360738.0,12.0,0.0
1945/03/27,18:41:53.82,le,3.38,l,34.163,-116.934,10.6,B,10084826.0,15.0,0.0
1945/03/29,04:04:20.68,le,4.14,l,34.151,-116.233,6.0,C,3360905.0,20.0,0.0
