YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1988/01/01,00:06:41.01,le,2.42,c,34.18,-116.414,2.3,A,740059.0,26.0,0.0
1988/01/01,02:34:55.13,le,1.20,h,32.968,-115.943,14.5,D,740061.0,8.0,0.0
1988/01/01,04:40:11.10,le,2.31,c,32.714,-115.982,5.4,A,740062.0,13.0,0.0
1988/01/01,04:52:28.48,le,2.31,c,34.18,-116.407,2.4,A,135365.0,29.0,0.0
1988/01/01,04:52:43.42,le,2.21,c,34.176,-116.415,2.6,A,740063.0,14.0,0.0
1988/01/01,05:21:46.68,le,1.30,h,32.955,-115.753,1.2,B,740064.0,6.0,0.0
1988/01/01,05:24:07.19,le,1.76,c,32.885,-115.631,5.3,A,740065.0,8.0,0.0
1988/01/01,05:27:24.01,le,1.30,h,32.954,-115.773,2.2,B,740066.0,10.0,0.0
1988/01/01,06:21:11.75,le,1.97,c,32.575,-115.788,6.0,C,740067.0,16.0,0.0
1988/01/01,06:32:51.94,le,2.34,c,32.713,-115.961,2.2,A,740068.0,14.0,0.0
1988/01/01,07:07:55.03,le,2.02,c,32.964,-115.796,0.0,A,740069.0,12.0,0.0
1988/01/01,07:42:07.85,le,2.11,c,34.236,-116.878,6.2,A,740070.0,43.0,0.0
1988/01/01,08:33:08.85,le,2.28,c,34.23,-116.877,3.8,A,740071.0,36.0,0.0
1988/01/01,08:52:29.30,le,2.37,c,33.555,-117.206,6.0,C,740072.0,27.0,0.0
1988/01/01,10:56:03.10,le,1.87,c,34.137,-116.129,6.0,A,740076.0,18.0,0.0
1988/01/01,11:25:38.45,le,1.89,c,33.073,-115.79,2.5,A,740077.0,13.0,0.0
1988/01/01,11:44:42.59,le,2.29,c,34.182,-116.408,2.8,A,740078.0,28.0,0.0
1988/01/01,12:04:40.91,le,1.50,h,34.186,-116.421,6.5,C,740079.0,13.0,0.0
1988/01/01,13:31:33.37,le,1.70,h,35.436,-118.591,4.8,A,740080.0,26.0,0.0
1988/01/01,13:33:30.41,le,1.40,h,33.018,-115.822,3.5,B,740081.0,9.0,0.0
1988/01/01,14:00:07.85,le,2.11,c,32.966,-115.794,1.9,A,740082.0,15.0,0.0
1988/01/01,14:15:25.68,le,2.13,c,33.813,-116.949,15.6,A,740083.0,17.0,0.0
1988/01/01,15:02:20.39,le,1.20,h,34.963,-116.782,3.4,A,740088.0,8.0,0.0
1988/01/01,16:34:11.60,le,2.18,c,34.179,-116.41,2.7,A,740092.0,24.0,0.0
1988/01/01,17:37:12.38,le,1.00,h,33.404,-116.411,12.8,A,135368.0,10.0,0.0
1988/01/01,17:37:15.74,le,1.30,h,33.403,-116.42,12.0,A,740093.0,15.0,0.0
1988/01/01,18:18:58.44,le,1.40,h,35.806,-117.935,4.0,A,740094.0,23.0,0.0
1988/01/01,18:49:15.29,le,1.60,h,36.11,-117.847,4.0,A,740095.0,16.0,0.0
1988/01/01,19:17:05.05,le,1.50,h,35.722,-118.401,4.3,A,740098.0,19.0,0.0
1988/01/01,20:39:00.29,le,1.20,h,33.216,-115.605,4.3,A,740101.0,10.0,0.0
1988/01/01,21:20:39.69,le,1.60,h,33.043,-115.801,4.0,A,740111.0,13.0,0.0
