YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1989/01/01,00:52:36.35,le,1.10,n,32.709,-115.842,5.0,A,1016849.0,8.0,0.0
1989/01/01,01:00:21.36,le,1.40,n,32.684,-115.838,11.7,A,1016850.0,9.0,0.0
1989/01/01,01:38:56.78,le,1.34,c,36.036,-117.782,1.0,C,1016854.0,8.0,0.0
1989/01/01,02:02:26.00,le,2.30,c,32.958,-115.777,1.1,A,1016856.0,13.0,0.0
1989/01/01,02:13:22.32,le,0.70,h,33.184,-115.575,1.0,C,138732.0,8.0,0.0
1989/01/01,02:13:26.39,le,1.84,c,33.168,-115.589,1.6,A,1016857.0,13.0,0.0
1989/01/01,02:47:51.55,le,1.30,n,36.018,-117.547,1.0,C,1016858.0,11.0,0.0
1989/01/01,03:43:56.08,le,1.50,n,33.162,-115.584,4.0,A,1016860.0,8.0,0.0
1989/01/01,03:51:13.97,le,1.50,n,33.17,-115.585,3.0,A,1016862.0,8.0,0.0
1989/01/01,05:04:47.55,le,1.10,n,34.04,-116.719,8.7,A,1016864.0,9.0,0.0
1989/01/01,05:53:35.16,le,1.50,n,34.784,-120.33,6.0,C,1016865.0,5.0,0.0
1989/01/01,06:59:00.17,re,1.80,n,36.33,-120.875,6.0,D,1016866.0,8.0,0.0
1989/01/01,08:32:03.36,le,0.90,n,35.415,-118.184,9.4,A,1016868.0,9.0,0.0
1989/01/01,09:03:24.45,le,1.30,n,36.034,-117.785,0.1,A,1016869.0,15.0,0.0
1989/01/01,10:36:38.69,le,2.93,c,33.02,-117.766,6.0,C,1016872.0,19.0,0.0
1989/01/01,13:02:32.01,le,1.30,n,35.701,-118.583,1.6,A,1016874.0,13.0,0.0
1989/01/01,14:06:35.76,le,0.90,n,33.17,-116.079,11.4,A,1016875.0,6.0,0.0
1989/01/01,14:19:57.76,le,2.42,c,34.007,-116.731,10.6,A,1016876.0,13.0,0.0
1989/01/01,15:33:12.09,le,1.20,h,33.499,-116.483,16.4,A,1016877.0,13.0,0.0
1989/01/01,15:39:00.01,re,1.70,n,35.495,-120.804,6.0,C,1016878.0,7.0,0.0
1989/01/01,15:45:53.18,le,0.90,n,33.197,-116.356,11.6,A,1016879.0,7.0,0.0
1989/01/01,15:46:23.07,le,1.00,n,33.196,-116.369,12.3,A,138641.0,7.0,0.0
1989/01/01,18:20:22.09,le,1.20,n,35.998,-117.791,1.1,A,1016885.0,12.0,0.0
1989/01/01,19:04:19.52,le,1.25,c,35.792,-117.913,3.8,A,1016887.0,12.0,0.0
1989/01/01,19:06:25.07,le,1.70,n,35.159,-116.509,12.6,A,1016888.0,8.0,0.0
1989/01/01,20:48:44.90,le,2.45,c,34.008,-116.351,4.1,A,1016892.0,22.0,0.0
1989/01/01,21:24:10.60,le,2.27,c,36.016,-117.865,3.4,A,1016893.0,24.0,0.0
1989/01/02,03:10:08.73,le,2.50,c,33.003,-115.828,4.0,A,1016911.0,19.0,0.0
1989/01/02,04:22:09.12,le,1.10,n,35.45,-118.354,7.0,A,1016913.0,17.0,0.0
1989/01/02,05:20:11.47,le,1.00,n,35.796,-117.881,5.3,A,1016916.0,8.0,0.0
1989/01/02,05:25:31.24,le,1.10,n,33.94,-116.623,16.8,A,1016917.0,8.0,0.0
1989/01/02,06:37:14.10,le,1.99,c,35.794,-117.914,4.0,A,1016918.0,27.0,0.0
1989/01/02,07:00:27.85,le,1.64,c,34.855,-119.244,12.7,A,1016919.0,14.0,0.0
1989/01/02,08:21:47.01,le,1.20,n,33.98,-116.67,8.6,A,1016920.0,9.0,0.0
1989/01/02,09:29:48.88,le,0.90,n,35.59,-118.49,10.0,A,1016923.0,10.0,0.0
