YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1987/01/01,01:48:27.56,le,3.00,c,32.975,-117.767,6.0,C,715298.0,18.0,0.0
1987/01/01,02:11:07.05,le,2.47,c,32.991,-117.749,6.0,C,715299.0,28.0,0.0
1987/01/01,02:17:53.62,le,1.47,c,34.453,-118.436,13.7,A,715300.0,16.0,0.0
1987/01/01,03:41:36.44,le,3.25,l,32.967,-117.785,6.0,C,715301.0,27.0,0.0
1987/01/01,04:26:23.75,le,2.69,c,32.998,-117.779,6.0,C,715302.0,18.0,0.0
1987/01/01,04:59:35.44,le,1.89,c,33.982,-116.678,17.5,A,715303.0,18.0,0.0
1987/01/01,05:03:20.64,le,2.44,c,33.018,-117.752,6.0,C,715304.0,19.0,0.0
1987/01/01,06:09:00.85,le,2.20,n,32.988,-117.796,6.0,C,715305.0,13.0,0.0
1987/01/01,08:08:01.36,le,2.16,c,33.018,-115.977,8.1,C,715306.0,27.0,0.0
1987/01/01,08:25:06.33,le,3.43,l,34.038,-116.643,12.5,A,715307.0,94.0,0.0
1987/01/01,09:07:56.80,le,1.10,n,33.398,-116.413,12.4,A,715308.0,15.0,0.0
1987/01/01,09:27:45.51,le,1.50,n,34.196,-116.247,0.7,B,715309.0,10.0,0.0
1987/01/01,09:34:55.09,le,1.94,c,33.208,-116.029,5.0,A,715310.0,14.0,0.0
1987/01/01,10:19:49.21,le,2.40,c,32.992,-115.572,4.7,A,715311.0,22.0,0.0
1987/01/01,10:44:14.02,le,0.60,n,33.604,-116.63,14.3,A,715312.0,13.0,0.0
1987/01/01,11:13:17.49,le,1.30,h,35.356,-118.571,6.0,C,715313.0,9.0,0.0
1987/01/01,12:07:37.59,le,1.96,c,34.193,-116.225,4.1,A,715314.0,13.0,0.0
1987/01/01,13:12:01.57,le,1.17,c,35.28,-118.6,6.0,C,715315.0,24.0,0.0
1987/01/01,13:34:57.17,le,1.96,c,33.042,-116.394,3.6,A,715316.0,16.0,0.0
1987/01/01,14:18:33.12,le,1.71,c,33.978,-116.566,11.4,B,715317.0,13.0,0.0
1987/01/01,16:13:53.90,le,2.67,c,32.987,-117.756,6.0,C,715318.0,18.0,0.0
1987/01/01,18:44:23.84,le,2.00,c,33.977,-116.565,6.3,B,715320.0,23.0,0.0
1987/01/01,18:57:10.72,le,1.00,n,33.107,-116.206,8.1,B,715322.0,11.0,0.0
