YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1975/01/01,03:16:29.38,le,2.32,h,35.266,-118.528,4.4,B,3037299.0,13.0,0.0
1975/01/01,07:51:38.78,le,2.70,l,34.23,-117.446,10.0,A,3037300.0,52.0,0.0
1975/01/01,13:15:30.35,le,2.21,h,34.382,-118.444,6.3,A,3037301.0,21.0,0.0
1975/01/01,19:57:28.38,le,2.65,h,35.129,-116.561,1.0,C,3037302.0,17.0,0.0
1975/01/01,20:28:29.71,le,2.48,h,35.368,-118.496,6.0,C,3037303.0,18.0,0.0
1975/01/02,20:31:33.57,qb,0.00,n,33.881,-115.558,0.0,C,3037306.0,14.0,0.0
1975/01/03,05:55:31.85,le,3.31,l,33.541,-117.664,16.2,C,3037307.0,52.0,0.0
1975/01/03,06:00:53.18,le,2.95,l,33.53,-117.663,5.5,B,3037308.0,60.0,0.0
1975/01/03,20:57:06.11,qb,0.00,n,33.863,-115.559,0.0,C,3037311.0,13.0,0.0
1975/01/03,22:52:59.61,qb,0.00,n,33.854,-115.523,0.0,C,3037312.0,20.0,0.0
1975/01/04,03:52:42.86,le,2.00,d,33.893,-116.598,7.5,C,3037314.0,16.0,0.0
1975/01/04,05:28:33.04,le,2.17,h,35.823,-117.716,5.1,D,3037315.0,13.0,0.0
1975/01/04,09:58:13.34,le,1.90,d,33.895,-116.598,1.0,C,3037316.0,14.0,0.0
1975/01/05,07:17:45.99,le,2.10,d,34.305,-116.869,1.0,C,3037318.0,15.0,0.0
1975/01/06,11:17:11.39,re,4.68,l,36.028,-120.574,6.0,D,3037319.0,52.0,0.0
1975/01/06,16:24:50.37,le,1.70,d,34.102,-116.643,0.8,B,3037320.0,13.0,0.0
1975/01/06,23:28:38.56,qb,0.00,n,33.867,-115.562,0.0,C,3037321.0,21.0,0.0
1975/01/07,00:45:15.27,qb,0.00,n,34.747,-116.413,0.0,C,3037322.0,18.0,0.0
1975/01/07,01:12:49.60,le,1.70,d,33.896,-116.255,3.1,B,3037323.0,14.0,0.0
1975/01/07,08:27:51.89,le,1.30,d,34.242,-116.434,0.0,C,3037324.0,11.0,0.0
1975/01/07,20:13:09.83,qb,0.00,n,33.899,-115.556,0.0,C,3037325.0,19.0,0.0
1975/01/07,22:44:14.64,qb,0.00,n,33.893,-115.518,0.0,C,3037326.0,19.0,0.0
1975/01/08,02:19:30.69,le,2.68,h,32.365,-114.754,19.4,D,3037327.0,9.0,0.0
1975/01/08,03:31:00.96,le,2.52,h,32.198,-114.494,6.0,D,3037328.0,5.0,0.0
1975/01/08,16:20:58.50,le,2.40,d,34.233,-116.673,5.9,B,3037329.0,21.0,0.0
1975/01/08,19:14:32.54,qb,0.00,n,34.317,-116.857,0.0,C,3037330.0,13.0,0.0
1975/01/08,22:53:44.51,qb,0.00,n,33.901,-115.559,0.0,C,3037331.0,11.0,0.0
1975/01/09,12:15:00.00,re,0.00,n,36.8,-116.25,6.0,D,3037332.0,10.0,0.0
1975/01/09,14:49:42.47,le,2.10,d,34.376,-116.999,0.0,C,3037333.0,10.0,0.0
1975/01/09,16:34:10.61,le,1.80,d,34.319,-116.404,9.7,C,3037334.0,14.0,0.0
1975/01/09,20:13:56.74,le,2.98,h,32.552,-115.571,15.7,A,3037335.0,31.0,0.0
1975/01/09,23:56:46.85,le,1.60,d,34.014,-117.183,12.1,D,3037336.0,11.0,0.0
1975/01/10,02:35:03.30,le,2.00,d,33.99,-116.821,5.4,C,3037337.0,17.0,0.0
1975/01/10,18:22:50.46,le,1.90,d,34.22,-116.297,7.5,B,3037338.0,13.0,0.0
1975/01/10,20:01:42.31,qb,0.00,n,33.892,-115.515,0.0,C,3037339.0,14.0,0.0
1975/01/10,20:09:56.64,le,2.97,h,32.673,-115.51,6.0,C,3037340.0,21.0,0.0
1975/01/10,23:04:47.12,qb,0.00,n,33.903,-115.545,0.0,C,3037341.0,16.0,0.0
1975/01/10,23:32:56.40,le,2.31,h,35.669,-118.161,5.5,B,3037342.0,8.0,0.0
1975/01/11,13:00:45.70,le,1.70,d,33.775,-116.072,1.0,C,3037343.0,15.0,0.0
1975/01/11,14:44:17.81,le,2.91,l,33.955,-118.862,0.3,B,3037344.0,35.0,0.0
1975/01/11,17:32:34.39,le,1.80,d,34.378,-116.46,8.4,C,3037345.0,13.0,0.0
1975/01/11,19:13:23.76,le,1.80,d,34.223,-116.292,7.8,B,3037346.0,11.0,0.0
1975/01/12,17:28:18.15,le,1.50,d,34.121,-116.66,4.2,B,3037347.0,10.0,0.0
1975/01/12,21:22:13.48,le,4.84,l,32.693,-118.04,6.0,D,3037348.0,55.0,0.0
1975/01/12,21:43:54.23,le,2.69,h,32.528,-118.149,6.0,D,3037350.0,11.0,0.0
1975/01/13,01:25:12.19,le,1.90,d,34.06,-116.532,8.7,C,3037351.0,15.0,0.0
1975/01/13,06:45:04.65,le,1.50,d,34.378,-116.988,6.0,C,3037352.0,12.0,0.0
1975/01/13,11:21:50.10,le,3.63,l,33.798,-118.115,6.0,C,3037353.0,52.0,0.0
1975/01/13,11:30:58.77,le,2.17,h,35.242,-118.527,6.0,D,3037354.0,10.0,0.0
1975/01/13,13:41:08.86,le,2.21,h,33.819,-118.051,15.2,A,3037355.0,23.0,0.0
1975/01/13,22:33:36.41,le,1.10,d,34.29,-116.404,9.5,C,3037356.0,8.0,0.0
1975/01/13,23:28:41.08,le,3.23,l,34.194,-117.584,0.6,A,3037357.0,64.0,0.0
1975/01/13,23:48:39.57,le,1.50,d,34.444,-115.928,10.5,A,3037358.0,13.0,0.0
1975/01/14,01:54:25.91,le,2.79,h,32.882,-115.576,10.4,A,3037361.0,35.0,0.0
1975/01/14,02:08:15.50,le,2.80,h,32.881,-115.585,6.0,C,3037362.0,33.0,0.0
1975/01/14,02:20:51.29,le,2.43,h,32.878,-115.584,5.5,C,3037363.0,19.0,0.0
1975/01/14,03:36:27.88,le,2.55,h,36.061,-117.205,6.0,D,3037364.0,13.0,0.0
1975/01/14,04:18:09.75,le,2.66,l,33.657,-116.706,6.0,C,3037365.0,50.0,0.0
1975/01/14,07:58:41.20,le,3.30,l,33.81,-118.092,19.7,A,3037366.0,52.0,0.0
1975/01/14,08:55:58.97,le,2.84,l,35.378,-118.823,6.0,C,3037367.0,15.0,0.0
1975/01/15,07:38:03.27,le,2.22,h,33.805,-118.079,12.6,A,3037369.0,22.0,0.0
1975/01/15,16:50:40.63,qb,0.00,n,34.627,-117.321,0.0,C,3037370.0,18.0,0.0
1975/01/15,19:54:33.40,le,1.50,d,33.822,-116.149,4.2,A,3037371.0,14.0,0.0
1975/01/15,21:13:48.55,qb,0.00,n,33.897,-115.519,0.0,D,3037372.0,8.0,0.0
1975/01/16,11:57:03.61,le,0.80,d,34.009,-116.404,3.4,B,3037375.0,8.0,0.0
1975/01/16,20:22:30.90,qb,0.00,n,33.857,-115.532,0.0,C,3037377.0,26.0,0.0
1975/01/16,23:58:17.65,le,1.60,d,34.017,-116.403,6.0,C,3037378.0,15.0,0.0
1975/01/17,05:42:15.99,le,2.91,h,34.954,-120.47,6.0,D,3037380.0,23.0,0.0
1975/01/17,07:33:18.62,le,2.10,d,34.02,-116.404,6.0,C,3037381.0,15.0,0.0
1975/01/17,17:33:35.73,qb,0.00,n,33.907,-115.542,0.0,C,3037382.0,10.0,0.0
1975/01/17,20:26:27.61,le,1.80,d,34.454,-117.008,6.0,C,3037384.0,14.0,0.0
1975/01/18,02:06:28.19,le,2.50,d,34.0,-116.654,10.6,C,3037383.0,23.0,0.0
1975/01/18,18:08:52.31,le,2.46,h,32.988,-116.248,2.9,A,3037385.0,24.0,0.0
1975/01/18,19:50:56.16,le,2.26,h,33.429,-118.25,11.2,B,3037386.0,18.0,0.0
1975/01/18,21:34:45.75,qb,0.00,n,33.898,-115.545,0.0,C,3037387.0,16.0,0.0
1975/01/18,22:28:03.50,qb,0.00,n,33.886,-115.518,0.0,C,3037388.0,19.0,0.0
1975/01/19,08:52:50.55,le,2.61,h,32.929,-115.486,9.8,A,3037389.0,19.0,0.0
1975/01/19,12:46:56.11,le,3.04,h,32.926,-115.468,3.8,A,3037392.0,45.0,0.0
1975/01/19,14:28:50.49,le,3.69,l,36.282,-118.358,6.0,C,3037393.0,50.0,0.0
1975/01/19,19:49:59.14,le,2.10,d,33.761,-116.078,1.2,A,3037395.0,19.0,0.0
1975/01/20,09:25:55.80,le,2.78,h,32.431,-115.234,6.0,C,3037396.0,16.0,0.0
1975/01/20,14:11:07.40,le,1.50,d,33.883,-116.533,6.0,C,3037397.0,15.0,0.0
1975/01/20,21:55:14.54,qb,0.00,n,33.899,-115.555,0.0,C,3037398.0,10.0,0.0
1975/01/21,01:30:19.39,le,2.10,d,33.759,-116.085,2.8,A,3037400.0,18.0,0.0
1975/01/21,09:40:42.99,le,2.30,h,32.953,-115.489,6.0,C,3037401.0,15.0,0.0
1975/01/21,15:28:46.13,qb,0.00,n,34.05,-117.342,0.0,C,3037402.0,13.0,0.0
1975/01/21,16:47:34.98,le,3.28,h,32.933,-115.476,11.0,A,3037403.0,35.0,0.0
1975/01/21,17:13:49.30,le,2.71,h,32.919,-115.516,3.6,A,3037404.0,21.0,0.0
1975/01/22,00:43:08.52,qb,0.00,n,34.744,-116.421,0.0,C,3037405.0,19.0,0.0
1975/01/22,01:31:20.12,le,2.40,d,34.289,-116.609,0.0,A,3037406.0,18.0,0.0
1975/01/22,21:27:43.09,qb,0.00,n,33.894,-115.523,0.0,C,3037408.0,21.0,0.0
1975/01/23,03:48:43.00,le,3.15,l,33.897,-118.698,8.2,B,3037409.0,48.0,0.0
1975/01/23,04:27:13.56,le,0.60,d,34.005,-116.066,1.0,C,3037410.0,3.0,0.0
1975/01/23,04:32:26.91,le,1.50,d,34.005,-116.066,1.0,C,3037411.0,4.0,0.0
1975/01/23,06:28:21.09,le,1.50,d,34.0,-116.076,9.1,B,3037412.0,9.0,0.0
1975/01/23,07:08:26.96,le,0.00,n,32.933,-115.497,8.7,C,3187363.0,8.0,0.0
1975/01/23,07:50:33.47,le,1.50,d,32.925,-115.499,8.0,C,3187364.0,7.0,0.0
1975/01/23,07:57:19.45,le,0.00,n,32.987,-115.546,5.0,A,3187365.0,7.0,0.0
1975/01/23,08:41:39.71,le,1.90,d,33.994,-116.845,15.9,A,3037416.0,17.0,0.0
1975/01/23,10:39:42.75,le,0.00,n,32.934,-115.496,6.0,C,3037417.0,9.0,0.0
1975/01/23,11:39:30.08,le,0.00,n,32.93,-115.492,8.3,C,3037418.0,6.0,0.0
1975/01/23,11:55:15.09,le,0.00,n,32.926,-115.5,7.0,C,3094458.0,5.0,0.0
1975/01/23,12:20:59.86,le,2.73,h,32.925,-115.497,8.0,A,3037419.0,25.0,0.0
1975/01/23,12:26:56.19,le,1.00,d,32.924,-115.5,6.9,C,3037420.0,6.0,0.0
1975/01/23,12:30:16.88,le,4.13,l,32.924,-115.49,9.4,A,3037421.0,46.0,0.0
1975/01/23,12:32:46.24,le,2.60,h,32.92,-115.5,6.0,C,3037422.0,2.0,0.0
1975/01/23,12:36:03.60,le,0.00,n,32.921,-115.505,6.8,C,3037423.0,7.0,0.0
1975/01/23,12:40:45.59,le,1.50,d,32.918,-115.491,10.0,C,3037424.0,7.0,0.0
