YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1959/01/04,22:50:31.78,le,3.83,l,32.081,-115.912,6.0,D,3296901.0,18.0,0.0
1959/01/05,12:36:02.40,le,4.72,l,36.165,-118.052,0.2,C,3296903.0,29.0,0.0
1959/01/06,16:10:19.95,le,3.60,l,36.138,-118.073,0.0,B,3296906.0,27.0,0.0
1959/01/06,23:37:07.67,le,3.16,l,36.146,-118.05,2.7,A,3296908.0,15.0,0.0
1959/01/07,00:20:41.20,le,3.21,l,35.772,-117.706,0.4,C,3296909.0,26.0,0.0
1959/01/07,02:07:18.57,le,3.19,l,35.84,-117.701,3.2,C,3297104.0,27.0,0.0
1959/01/07,03:04:57.37,le,3.06,l,36.143,-118.043,9.5,A,3296910.0,13.0,0.0
1959/01/07,20:04:41.02,le,3.10,l,35.777,-117.703,6.0,C,3297105.0,21.0,0.0
1959/01/07,21:26:17.12,le,3.28,l,34.056,-119.009,6.0,C,3296912.0,17.0,0.0
1959/01/09,06:41:04.61,le,3.31,l,35.789,-117.711,0.4,C,3296913.0,29.0,0.0
1959/01/09,21:54:21.42,le,3.38,l,32.078,-115.89,6.0,D,3296916.0,19.0,0.0
1959/01/11,18:54:57.70,le,3.69,l,36.155,-118.046,2.1,B,3296919.0,37.0,0.0
1959/01/12,12:36:05.06,le,3.94,l,36.159,-118.06,0.3,C,3296939.0,34.0,0.0
1959/01/14,03:32:23.72,le,3.69,l,32.108,-115.892,6.0,D,3296940.0,21.0,0.0
1959/01/15,06:35:47.06,le,3.78,l,32.03,-115.947,6.0,C,3296941.0,21.0,0.0
1959/01/16,00:10:05.07,le,4.32,l,36.129,-118.067,0.1,C,3296942.0,32.0,0.0
1959/01/17,07:04:22.55,le,3.55,l,32.162,-115.769,6.0,D,3296944.0,21.0,0.0
1959/01/17,20:05:04.87,le,3.31,l,36.144,-118.072,5.6,C,3296945.0,26.0,0.0
1959/01/18,19:33:51.25,le,3.59,l,32.118,-115.819,6.0,D,3296948.0,21.0,0.0
1959/01/19,16:57:09.78,le,1.82,h,33.989,-118.046,18.7,C,3296949.0,10.0,0.0
1959/01/19,21:45:59.89,le,4.09,l,36.163,-118.067,0.0,C,3296950.0,30.0,0.0
1959/01/22,00:23:45.90,le,4.33,l,32.024,-115.86,6.0,D,3296951.0,32.0,0.0
1959/01/22,07:39:59.94,le,3.67,l,32.168,-115.802,6.0,D,3296953.0,21.0,0.0
1959/01/25,03:45:36.80,le,3.63,l,32.136,-115.793,6.0,C,3296956.0,21.0,0.0
1959/01/28,18:09:04.43,le,3.91,l,36.818,-116.195,6.0,D,3296960.0,29.0,0.0
1959/01/29,14:47:05.63,le,3.29,l,33.461,-116.513,6.2,B,3296961.0,28.0,0.0
1959/01/31,00:00:01.29,qb,2.73,l,34.62,-117.122,0.0,C,3296962.0,23.0,0.0
1959/01/31,16:20:12.97,le,3.08,l,35.109,-118.996,1.9,C,3296965.0,35.0,0.0
1959/02/01,04:20:01.38,le,2.99,l,35.505,-118.731,5.8,C,3296966.0,27.0,0.0
1959/02/02,14:27:04.87,re,3.61,l,36.366,-120.594,6.0,C,3296968.0,28.0,0.0
1959/02/03,13:54:41.87,le,3.12,l,35.333,-118.566,6.0,C,3296969.0,25.0,0.0
1959/02/03,14:06:33.35,le,2.74,l,35.343,-118.592,6.0,C,3296970.0,26.0,0.0
1959/02/03,16:44:45.05,le,2.88,l,35.328,-118.602,6.0,C,3296971.0,22.0,0.0
1959/02/04,15:20:45.05,le,3.34,l,36.178,-118.037,6.6,A,3296983.0,39.0,0.0
1959/02/05,02:43:29.97,le,3.29,l,34.139,-117.008,8.4,B,3296984.0,33.0,0.0
1959/02/06,02:01:51.27,le,3.19,l,35.323,-118.577,6.0,C,3296985.0,28.0,0.0
1959/02/07,21:24:22.43,le,3.05,l,33.522,-118.357,6.0,C,3296987.0,27.0,0.0
1959/02/08,08:28:55.18,le,3.32,l,36.111,-118.042,0.4,C,3296988.0,30.0,0.0
1959/02/08,21:54:12.98,le,3.55,l,32.172,-115.75,6.0,C,3296989.0,25.0,0.0
1959/02/16,06:44:08.69,le,3.63,l,32.164,-115.786,6.0,C,3296990.0,21.0,0.0
1959/02/22,14:40:17.29,le,2.03,h,34.033,-118.19,1.2,B,3296996.0,16.0,0.0
1959/02/25,16:18:42.76,le,2.31,l,35.392,-118.492,7.7,C,3296997.0,20.0,0.0
1959/02/27,04:32:44.52,le,2.99,l,35.542,-118.428,5.2,B,3296998.0,23.0,0.0
1959/02/27,21:31:05.33,le,1.97,h,33.982,-118.046,0.0,C,3297002.0,16.0,0.0
1959/02/28,00:00:01.60,qb,2.23,l,34.631,-117.12,0.0,C,3297003.0,16.0,0.0
1959/02/28,18:01:03.87,le,3.24,l,33.407,-116.475,2.3,C,3297004.0,18.0,0.0
1959/02/28,22:41:24.29,le,2.07,h,34.355,-117.85,0.0,C,3297006.0,19.0,0.0
1959/02/28,22:47:52.96,le,2.95,l,35.343,-118.555,6.0,C,3297007.0,22.0,0.0
1959/03/03,09:23:38.82,le,3.39,l,32.133,-115.881,6.0,D,3297008.0,13.0,0.0
1959/03/04,16:59:28.34,le,3.76,l,32.177,-115.953,6.0,D,3297009.0,17.0,0.0
1959/03/05,05:59:37.65,le,2.91,l,35.624,-117.195,6.0,C,3297011.0,27.0,0.0
1959/03/05,21:38:08.53,le,3.66,l,32.286,-115.725,6.0,C,3297012.0,22.0,0.0
1959/03/09,20:55:10.39,le,1.87,l,33.939,-117.82,1.5,C,3297013.0,21.0,0.0
1959/03/10,06:57:55.86,le,3.20,l,33.1,-116.431,6.0,C,3297014.0,23.0,0.0
1959/03/10,19:09:00.21,le,2.93,l,34.487,-119.395,6.0,C,3297015.0,25.0,0.0
1959/03/15,04:24:07.57,le,3.04,l,33.386,-116.764,6.0,C,3297018.0,25.0,0.0
1959/03/23,00:08:31.43,le,2.67,l,34.228,-117.408,9.8,B,3297019.0,21.0,0.0
