YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1943/01/02,14:11:18.49,le,4.43,l,33.432,-116.396,6.0,C,3366197.0,20.0,0.0
1943/01/02,23:49:17.81,le,3.20,l,34.016,-117.224,14.9,B,3366198.0,16.0,0.0
1943/01/04,06:12:10.35,le,3.08,l,32.898,-116.177,6.0,C,3366199.0,10.0,0.0
1943/01/06,14:51:59.33,le,2.92,l,32.909,-116.076,6.0,C,3366204.0,9.0,0.0
1943/01/07,02:19:15.94,le,3.06,l,33.157,-116.282,6.0,C,3366205.0,10.0,0.0
1943/01/07,17:21:37.16,le,2.23,l,33.652,-117.921,6.0,C,3366206.0,7.0,0.0
1943/01/08,00:24:07.58,le,3.72,l,32.867,-116.183,6.0,D,3366207.0,14.0,0.0
1943/01/08,01:24:08.64,le,3.03,l,32.995,-116.232,6.0,C,3366208.0,10.0,0.0
1943/01/09,13:46:31.96,le,2.60,l,32.875,-116.143,6.0,C,3366209.0,11.0,0.0
1943/01/15,18:58:30.30,le,2.95,l,35.123,-118.978,6.0,C,3366210.0,13.0,0.0
1943/01/17,06:30:32.03,le,2.89,l,32.697,-115.981,6.0,D,3366211.0,10.0,0.0
1943/01/19,04:15:46.92,le,2.90,l,33.013,-116.118,6.0,C,3366212.0,12.0,0.0
1943/01/24,06:55:40.63,le,3.23,l,34.158,-119.706,6.0,C,3366213.0,13.0,0.0
1943/01/26,23:42:23.63,le,2.83,l,33.289,-116.07,6.0,C,3366214.0,7.0,0.0
1943/01/28,23:59:52.18,le,2.72,l,33.206,-116.451,6.0,D,3366215.0,9.0,0.0
1943/01/30,10:45:11.10,le,2.69,l,33.837,-116.882,6.0,D,3366216.0,6.0,0.0
1943/02/01,05:06:11.07,le,2.86,l,33.1,-116.1,6.0,D,3366217.0,6.0,0.0
1943/02/01,05:18:52.00,le,2.86,l,33.1,-116.1,6.0,D,3366218.0,6.0,0.0
1943/02/03,18:22:56.64,le,2.02,l,33.828,-118.229,6.0,C,3366219.0,8.0,0.0
1943/02/04,12:24:54.02,le,2.67,h,33.594,-115.828,6.0,D,3366221.0,6.0,0.0
1943/02/04,21:22:57.82,le,3.13,l,36.176,-118.254,6.0,C,3366222.0,13.0,0.0
1943/02/05,04:25:37.62,le,2.69,l,34.09,-117.252,15.8,B,3366223.0,7.0,0.0
1943/02/05,19:08:11.32,le,3.33,l,33.011,-116.106,6.0,C,3366224.0,12.0,0.0
1943/02/07,09:48:30.27,le,2.39,l,33.869,-117.728,6.0,C,3366225.0,7.0,0.0
1943/02/10,02:59:23.78,le,2.88,l,32.891,-116.17,6.0,C,3366226.0,10.0,0.0
1943/02/10,23:04:36.04,le,2.87,l,32.935,-116.133,6.0,C,3366227.0,10.0,0.0
1943/02/11,13:54:17.37,le,2.74,l,34.282,-117.475,10.4,B,3366228.0,10.0,0.0
1943/02/12,05:43:54.00,le,2.59,l,33.653,-118.014,6.0,C,3366229.0,14.0,0.0
1943/02/13,19:11:16.94,le,2.36,l,33.342,-117.302,6.0,C,3366230.0,11.0,0.0
