YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1997/01/01,00:31:38.31,le,1.21,c,34.467,-119.127,3.5,B,7054964.0,13.0,0.0
1997/01/01,00:57:35.72,le,1.03,c,36.06,-117.641,0.0,B,7054965.0,14.0,0.0
1997/01/01,01:41:19.11,le,1.15,c,34.113,-116.396,10.4,C,7054967.0,8.0,0.0
1997/01/01,02:18:40.25,le,0.77,c,36.002,-117.789,3.1,A,7054969.0,12.0,0.0
1997/01/01,02:38:09.76,le,0.95,c,36.091,-117.635,9.3,D,7054970.0,5.0,0.0
1997/01/01,02:45:42.37,le,1.08,c,36.061,-117.649,2.5,A,7054971.0,14.0,0.0
1997/01/01,03:16:38.85,le,1.70,c,36.061,-117.637,2.8,A,7054972.0,18.0,0.0
1997/01/01,04:21:32.36,le,1.04,c,36.09,-117.657,3.4,A,7054974.0,11.0,0.0
1997/01/01,04:40:09.00,le,0.90,h,33.66,-116.748,16.7,B,7054975.0,10.0,0.0
1997/01/01,04:41:13.56,le,0.80,h,33.689,-116.705,18.3,B,7054976.0,11.0,0.0
1997/01/01,04:57:00.09,le,1.35,c,35.785,-117.652,9.3,A,7054977.0,19.0,0.0
1997/01/01,05:06:38.92,le,0.72,c,32.817,-116.164,10.8,C,7054978.0,7.0,0.0
1997/01/01,05:13:49.46,le,1.65,c,36.076,-117.625,0.1,A,7054979.0,17.0,0.0
1997/01/01,06:07:08.20,le,1.26,c,33.866,-117.757,5.2,A,7054980.0,21.0,0.0
1997/01/01,06:50:55.05,le,2.21,c,36.066,-117.652,1.4,A,7054983.0,24.0,0.0
1997/01/01,06:51:40.78,le,1.72,c,34.549,-116.552,5.4,A,3292565.0,23.0,0.0
1997/01/01,06:56:27.62,le,1.47,c,34.535,-116.546,3.3,D,7054984.0,6.0,0.0
1997/01/01,07:01:23.12,le,1.07,c,33.475,-117.096,14.2,A,7054985.0,12.0,0.0
1997/01/01,07:16:46.97,le,1.20,c,36.066,-117.645,0.0,B,7054986.0,12.0,0.0
1997/01/01,07:33:53.20,le,1.16,c,35.753,-118.403,9.4,C,7054987.0,7.0,0.0
1997/01/01,08:00:34.32,le,0.80,h,34.277,-118.722,10.3,B,7054988.0,12.0,0.0
1997/01/01,08:22:58.48,le,1.64,c,36.07,-117.647,0.7,A,7054990.0,17.0,0.0
1997/01/01,08:35:12.81,le,1.23,c,34.572,-116.511,10.3,C,7054991.0,10.0,0.0
1997/01/01,08:38:35.03,le,1.26,c,33.191,-116.839,14.7,B,7054992.0,15.0,0.0
1997/01/01,09:14:58.89,le,1.04,c,33.969,-117.191,17.2,D,7054993.0,11.0,0.0
1997/01/01,09:17:00.80,le,0.60,h,34.255,-118.635,6.9,B,7054996.0,11.0,0.0
1997/01/01,09:27:45.70,le,1.00,h,36.081,-117.639,6.0,C,7054997.0,8.0,0.0
1997/01/01,10:05:17.58,le,1.18,c,33.716,-116.847,14.2,B,7055000.0,17.0,0.0
1997/01/01,10:37:51.93,le,1.61,c,35.735,-117.612,5.2,A,7055003.0,19.0,0.0
1997/01/01,10:59:27.58,le,1.07,c,36.068,-117.641,1.9,B,7055004.0,9.0,0.0
1997/01/01,11:08:58.81,le,2.24,c,36.064,-117.656,1.4,A,7055007.0,35.0,0.0
1997/01/01,11:26:34.39,le,1.44,c,33.832,-118.054,18.0,B,7055008.0,14.0,0.0
1997/01/01,11:43:28.68,le,1.58,c,33.038,-116.395,3.7,A,7055009.0,13.0,0.0
1997/01/01,11:54:17.41,le,1.31,c,35.804,-117.639,5.1,A,7055010.0,15.0,0.0
1997/01/01,12:48:26.95,le,2.00,c,34.007,-118.345,7.2,B,7055011.0,36.0,0.0
1997/01/01,13:03:57.26,le,0.97,c,36.097,-117.632,3.4,A,7055012.0,14.0,0.0
1997/01/01,13:11:30.06,le,1.00,c,35.039,-119.034,11.3,B,7055013.0,9.0,0.0
1997/01/01,13:32:13.70,le,0.98,c,34.154,-117.431,6.0,C,7055014.0,9.0,0.0
1997/01/01,13:37:46.48,le,1.37,c,34.035,-118.248,11.9,B,7055015.0,24.0,0.0
1997/01/01,14:07:45.67,le,1.68,c,34.408,-116.454,0.3,B,7055016.0,26.0,0.0
1997/01/01,14:53:20.21,le,1.08,c,34.107,-116.925,8.4,B,7055017.0,18.0,0.0
1997/01/01,15:32:42.10,le,1.13,c,34.139,-116.404,3.0,A,7055018.0,10.0,0.0
1997/01/01,16:05:20.70,le,1.49,c,36.073,-117.648,2.7,A,7055019.0,17.0,0.0
1997/01/01,16:37:42.38,le,0.84,c,33.043,-116.429,0.0,C,7055020.0,7.0,0.0
1997/01/01,16:53:17.01,le,0.98,c,32.936,-116.184,10.4,D,7055021.0,7.0,0.0
1997/01/01,18:29:44.20,le,0.88,c,36.095,-117.647,5.5,A,7055025.0,7.0,0.0
1997/01/01,18:53:10.49,le,1.94,c,33.978,-116.389,5.2,A,7055026.0,44.0,0.0
1997/01/01,19:19:26.59,le,0.60,h,34.373,-118.598,10.0,B,7055027.0,9.0,0.0
1997/01/01,20:10:10.66,le,1.15,c,36.045,-117.687,3.2,B,7055028.0,9.0,0.0
1997/01/01,20:38:22.41,le,2.48,c,36.074,-117.652,2.6,A,7055029.0,26.0,0.0
1997/01/01,22:05:46.53,le,1.48,c,32.97,-116.254,10.5,A,7055035.0,18.0,0.0
1997/01/01,22:43:20.57,le,1.32,c,36.092,-117.651,4.9,A,7055037.0,11.0,0.0
1997/01/01,23:28:03.48,le,2.21,c,32.056,-115.717,6.0,D,7055038.0,11.0,0.0
1997/01/02,00:03:00.48,le,1.04,c,36.095,-117.652,8.0,C,7055039.0,7.0,0.0
1997/01/02,00:38:24.72,le,1.53,c,35.349,-118.578,8.1,B,7055042.0,18.0,0.0
1997/01/02,00:39:10.08,le,1.14,c,33.949,-116.313,4.9,A,7055043.0,14.0,0.0
1997/01/02,01:33:23.46,le,1.82,c,36.384,-117.849,6.0,C,7055044.0,20.0,0.0
1997/01/02,01:58:06.34,le,1.69,c,35.495,-118.289,5.6,A,7055045.0,31.0,0.0
1997/01/02,02:19:31.00,le,2.51,l,33.562,-118.184,6.0,C,7055048.0,56.0,0.0
1997/01/02,03:23:55.75,le,1.11,c,36.076,-117.641,0.0,C,7055050.0,10.0,0.0
1997/01/02,03:40:54.69,le,1.18,c,36.076,-117.642,0.0,C,7055051.0,10.0,0.0
1997/01/02,03:46:48.40,le,1.38,c,33.953,-116.657,14.2,A,7055055.0,24.0,0.0
1997/01/02,04:12:48.95,le,0.97,c,32.653,-115.931,6.0,B,7055056.0,10.0,0.0
1997/01/02,04:22:07.39,le,1.09,c,36.034,-117.674,2.9,B,7055058.0,10.0,0.0
1997/01/02,04:34:36.80,le,0.82,c,36.096,-117.636,6.0,A,7055059.0,6.0,0.0
1997/01/02,05:06:14.64,le,2.10,l,34.296,-118.555,11.2,A,7055061.0,74.0,0.0
1997/01/02,05:08:22.93,le,1.33,c,34.316,-118.593,14.4,A,7055062.0,19.0,0.0
1997/01/02,05:35:57.57,le,1.02,c,36.061,-117.673,4.5,A,7055064.0,10.0,0.0
1997/01/02,05:40:09.61,le,1.90,h,32.026,-115.784,6.0,C,7055065.0,9.0,0.0
1997/01/02,05:53:28.84,le,1.06,c,33.711,-116.781,17.2,C,7055066.0,12.0,0.0
1997/01/02,06:17:16.50,le,1.27,c,36.088,-117.649,4.8,A,7055067.0,11.0,0.0
1997/01/02,07:01:48.88,le,0.80,c,35.952,-117.971,8.1,B,7055068.0,12.0,0.0
1997/01/02,07:16:39.85,qb,1.16,c,33.862,-117.722,0.0,C,7055070.0,8.0,0.0
1997/01/02,07:26:50.75,le,1.30,c,36.096,-117.666,4.0,A,7055071.0,11.0,0.0
1997/01/02,08:52:32.01,le,0.92,c,35.777,-117.626,14.9,B,7055073.0,7.0,0.0
1997/01/02,09:13:01.79,le,1.76,c,32.209,-115.67,6.0,D,7055074.0,10.0,0.0
1997/01/02,09:15:06.88,le,1.66,c,34.401,-118.761,10.1,A,7055076.0,22.0,0.0
1997/01/02,09:24:36.38,le,0.95,c,33.943,-116.858,6.0,C,7055077.0,16.0,0.0
1997/01/02,09:42:22.89,le,1.34,c,32.65,-115.932,6.0,A,7055078.0,16.0,0.0
1997/01/02,10:23:06.02,le,0.92,c,33.995,-116.959,13.8,B,7055079.0,13.0,0.0
1997/01/02,10:45:34.55,le,1.44,c,33.197,-115.575,3.4,A,7055080.0,15.0,0.0
1997/01/02,11:03:24.00,le,1.50,c,36.124,-118.403,6.0,D,7055081.0,7.0,0.0
1997/01/02,11:17:16.28,le,1.14,c,33.556,-116.682,6.0,C,7055082.0,15.0,0.0
1997/01/02,11:57:15.83,le,1.32,c,36.097,-117.664,3.4,A,7055083.0,10.0,0.0
1997/01/02,12:02:02.39,le,1.76,c,36.096,-117.661,0.8,A,7055084.0,19.0,0.0
1997/01/02,13:26:37.88,le,1.09,c,36.103,-117.623,3.0,A,7055086.0,12.0,0.0
1997/01/02,13:57:06.81,le,1.83,c,32.08,-115.111,6.0,D,7055087.0,7.0,0.0
1997/01/02,14:04:46.56,le,0.51,c,33.286,-116.402,11.1,C,7055088.0,5.0,0.0
1997/01/02,14:08:35.53,le,1.48,c,32.66,-115.936,5.6,A,7055090.0,16.0,0.0
1997/01/02,14:38:48.07,le,2.46,c,36.09,-117.657,2.3,A,7055091.0,31.0,0.0
1997/01/02,15:50:41.18,le,1.67,c,33.324,-116.327,8.2,A,7055093.0,26.0,0.0
1997/01/02,16:18:05.16,le,1.10,h,34.397,-116.486,9.1,C,7055094.0,7.0,0.0
1997/01/02,16:57:18.13,le,1.00,h,34.404,-116.459,2.7,B,7055096.0,7.0,0.0
1997/01/02,19:24:09.12,qb,1.13,c,34.005,-117.339,0.0,C,7055101.0,9.0,0.0
1997/01/02,20:01:42.40,le,1.27,c,36.081,-117.649,5.0,A,7055104.0,9.0,0.0
1997/01/02,21:20:13.68,le,1.26,c,34.211,-117.619,4.7,A,7055108.0,17.0,0.0
1997/01/02,21:22:32.92,le,1.23,c,36.101,-117.658,6.0,C,7055109.0,9.0,0.0
1997/01/02,23:03:33.92,qb,1.42,c,35.159,-118.396,0.0,C,7055111.0,6.0,0.0
1997/01/02,23:06:30.43,qb,0.00,n,33.681,-117.064,2.6,A,7055113.0,6.0,0.0
1997/01/03,00:52:27.59,le,1.77,c,34.254,-117.488,8.0,A,7055116.0,35.0,0.0
1997/01/03,01:22:45.58,le,1.32,c,36.093,-117.662,4.7,A,7055119.0,11.0,0.0
1997/01/03,01:35:17.27,le,1.17,c,35.731,-117.665,6.8,B,7055120.0,11.0,0.0
1997/01/03,01:43:57.58,le,1.65,c,34.72,-118.606,9.6,A,7055121.0,27.0,0.0
1997/01/03,01:49:10.38,le,1.20,c,35.777,-117.643,5.3,A,7055122.0,8.0,0.0
1997/01/03,02:28:45.53,le,1.09,c,35.733,-117.664,10.2,B,7055127.0,10.0,0.0
1997/01/03,03:27:37.62,le,1.12,c,36.112,-117.838,6.0,C,7055129.0,7.0,0.0
1997/01/03,05:34:26.95,le,1.31,c,32.958,-115.913,3.1,A,7055138.0,12.0,0.0
1997/01/03,06:11:52.73,le,1.36,c,35.989,-117.924,4.6,A,7055139.0,13.0,0.0
1997/01/03,06:19:36.73,le,2.15,c,32.044,-116.303,6.0,D,7055140.0,10.0,0.0
1997/01/03,06:30:46.56,le,1.31,c,36.098,-117.66,6.0,C,7055141.0,9.0,0.0
1997/01/03,07:24:40.49,le,1.54,c,35.035,-116.968,8.1,D,7055143.0,6.0,0.0
1997/01/03,07:31:42.40,le,1.54,c,36.082,-117.645,4.8,A,7055144.0,16.0,0.0
1997/01/03,07:37:30.72,le,1.17,c,34.022,-117.56,11.0,B,7055145.0,16.0,0.0
1997/01/03,07:58:40.14,le,1.20,c,35.78,-117.647,9.5,A,7055146.0,10.0,0.0
1997/01/03,08:07:25.19,le,1.26,c,36.094,-117.665,2.3,C,7055148.0,11.0,0.0
1997/01/03,08:51:51.14,le,1.89,c,32.351,-115.244,6.0,D,7055150.0,6.0,0.0
1997/01/03,08:53:52.40,le,1.48,c,32.605,-115.903,9.5,C,7055151.0,10.0,0.0
1997/01/03,09:06:49.72,le,1.40,c,33.343,-116.408,6.3,C,7055152.0,11.0,0.0
1997/01/03,09:08:43.38,le,1.49,c,36.103,-117.664,6.0,C,7055153.0,13.0,0.0
1997/01/03,09:08:55.12,le,1.51,c,36.096,-117.663,1.9,A,3292957.0,11.0,0.0
1997/01/03,09:34:43.56,le,1.13,c,36.06,-117.674,3.1,A,7055154.0,10.0,0.0
1997/01/03,10:09:06.61,le,1.47,c,35.796,-117.634,5.5,A,7055155.0,18.0,0.0
1997/01/03,11:15:15.78,le,1.33,c,36.049,-117.672,3.1,C,7055156.0,8.0,0.0
1997/01/03,11:15:21.99,le,1.40,c,34.247,-118.674,7.6,A,3292960.0,20.0,0.0
1997/01/03,11:24:02.10,le,1.14,c,35.794,-117.63,5.4,A,7055157.0,14.0,0.0
1997/01/03,11:46:51.44,le,1.17,c,35.798,-117.632,5.4,A,7055158.0,17.0,0.0
1997/01/03,12:05:55.83,le,2.55,c,32.008,-115.749,6.0,D,7055159.0,13.0,0.0
1997/01/03,12:09:57.11,le,0.92,c,35.738,-117.61,4.6,B,7055160.0,8.0,0.0
1997/01/03,12:27:34.73,le,1.09,c,34.197,-117.627,4.4,A,7055161.0,19.0,0.0
1997/01/03,12:29:55.67,le,0.71,c,35.795,-117.626,5.4,A,7055162.0,7.0,0.0
1997/01/03,13:01:13.68,le,1.56,c,36.089,-117.655,1.0,A,7055163.0,15.0,0.0
1997/01/03,14:40:15.70,le,1.57,c,35.522,-116.851,6.0,C,7055165.0,10.0,0.0
1997/01/03,16:10:49.67,le,1.09,c,36.09,-117.635,0.2,B,7055167.0,10.0,0.0
1997/01/03,16:34:04.34,le,1.19,c,35.737,-117.614,5.1,A,7055169.0,9.0,0.0
1997/01/03,19:35:08.34,qb,1.76,c,33.658,-117.053,0.0,B,7055176.0,17.0,0.0
1997/01/03,20:38:38.46,le,1.42,c,36.083,-117.651,1.9,A,7055178.0,12.0,0.0
1997/01/03,20:56:28.03,le,1.57,c,34.353,-118.562,14.3,A,7055180.0,29.0,0.0
