YYYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1956/01/03,00:25:49.13,le,4.71,l,33.753,-117.491,10.8,A,3297472.0,39.0,0.0
1956/01/03,00:52:31.83,le,2.64,l,33.699,-117.477,2.3,C,3297474.0,18.0,0.0
1956/01/03,14:24:01.25,le,4.64,l,32.373,-116.038,6.0,C,3297475.0,51.0,0.0
1956/01/04,11:08:27.28,le,2.06,h,34.423,-118.542,6.0,C,3297476.0,12.0,0.0
1956/01/04,15:54:44.94,le,0.00,h,34.5,-118.5,6.0,D,3297477.0,12.0,0.0
1956/01/06,16:33:01.12,le,2.87,l,33.73,-117.486,6.7,C,3297480.0,23.0,0.0
1956/01/09,12:56:59.66,le,3.03,l,35.624,-115.865,6.0,C,3297713.0,26.0,0.0
1956/01/12,16:05:19.80,le,2.87,l,33.329,-118.562,6.0,C,3297482.0,26.0,0.0
1956/01/13,09:03:34.93,le,2.58,l,34.041,-117.245,14.3,A,3297483.0,31.0,0.0
1956/01/14,21:14:20.63,le,3.32,l,35.299,-118.501,6.0,C,3297484.0,44.0,0.0
1956/01/15,02:17:21.70,le,2.94,l,35.324,-118.491,6.0,C,3297485.0,38.0,0.0
1956/01/15,03:06:29.15,le,2.70,l,34.032,-117.508,4.0,B,3297486.0,29.0,0.0
1956/01/16,02:32:22.63,le,3.49,l,33.772,-120.394,6.0,C,3297487.0,39.0,0.0
1956/01/17,14:47:21.01,le,2.63,l,33.694,-116.764,13.0,A,3297489.0,22.0,0.0
1956/01/21,06:22:00.82,le,3.44,l,33.469,-116.469,6.0,C,3297492.0,33.0,0.0
1956/01/21,08:52:38.93,le,2.75,l,35.102,-118.679,6.0,C,3297493.0,32.0,0.0
1956/01/22,12:23:51.30,le,2.53,l,34.081,-117.593,2.3,B,3297494.0,21.0,0.0
1956/01/27,12:19:23.15,le,2.61,l,35.383,-118.516,6.0,C,3297498.0,26.0,0.0
1956/02/01,21:16:05.76,le,2.77,l,35.421,-118.624,0.2,B,3297500.0,37.0,0.0
1956/02/03,05:32:41.23,le,2.49,l,35.35,-118.555,6.0,C,3297501.0,24.0,0.0
1956/02/04,14:21:43.08,le,2.91,l,35.065,-117.162,6.0,C,3297502.0,25.0,0.0
1956/02/05,03:36:35.60,le,2.82,l,33.273,-116.293,10.0,C,3297505.0,19.0,0.0
1956/02/06,00:15:43.08,le,2.82,l,35.333,-118.545,6.0,C,3297506.0,27.0,0.0
1956/02/06,13:05:25.49,le,2.61,l,35.417,-118.689,6.0,C,3297507.0,33.0,0.0
1956/02/06,13:21:15.47,le,2.80,l,35.406,-118.652,6.0,C,3297508.0,30.0,0.0
